Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
875.93	0.10132	0.29700	3.3670	910.76	1251.9	8.3053	0.89871	1.1956	673.79	-0.68180	45.519	0.073639	vapor
878.76	0.10132	0.29627	3.3753	913.31	1255.3	8.3082	0.89920	1.1960	674.57	-0.68316	45.591	0.073782	vapor
881.60	0.10132	0.29554	3.3836	915.86	1258.7	8.3112	0.89968	1.1965	675.36	-0.68451	45.664	0.073924	vapor
884.43	0.10132	0.29482	3.3919	918.41	1262.1	8.3141	0.90017	1.1970	676.14	-0.68585	45.736	0.074066	vapor
887.27	0.10132	0.29410	3.4002	920.96	1265.5	8.3171	0.90065	1.1975	676.92	-0.68719	45.809	0.074207	vapor
890.11	0.10132	0.29338	3.4085	923.52	1268.9	8.3200	0.90113	1.1980	677.70	-0.68851	45.881	0.074349	vapor
892.94	0.10132	0.29267	3.4168	926.08	1272.3	8.3229	0.90161	1.1985	678.48	-0.68982	45.953	0.074491	vapor
895.78	0.10132	0.29196	3.4251	928.64	1275.7	8.3258	0.90209	1.1989	679.26	-0.69113	46.025	0.074632	vapor
898.62	0.10132	0.29125	3.4334	931.19	1279.1	8.3287	0.90256	1.1994	680.04	-0.69242	46.098	0.074773	vapor
901.45	0.10132	0.29055	3.4417	933.76	1282.5	8.3316	0.90304	1.1999	680.82	-0.69371	46.170	0.074915	vapor
904.29	0.10132	0.28985	3.4501	936.32	1285.9	8.3345	0.90351	1.2004	681.60	-0.69498	46.242	0.075056	vapor
907.13	0.10132	0.28915	3.4584	938.88	1289.3	8.3374	0.90398	1.2008	682.37	-0.69625	46.314	0.075197	vapor
909.96	0.10132	0.28846	3.4667	941.45	1292.7	8.3403	0.90445	1.2013	683.15	-0.69751	46.385	0.075337	vapor
912.80	0.10132	0.28777	3.4750	944.01	1296.1	8.3432	0.90491	1.2018	683.92	-0.69875	46.457	0.075478	vapor
915.63	0.10132	0.28708	3.4833	946.58	1299.5	8.3460	0.90538	1.2022	684.70	-0.69999	46.529	0.075619	vapor
918.47	0.10132	0.28640	3.4916	949.15	1302.9	8.3489	0.90584	1.2027	685.47	-0.70122	46.600	0.075759	vapor
921.31	0.10132	0.28572	3.4999	951.72	1306.3	8.3518	0.90630	1.2031	686.24	-0.70245	46.672	0.075900	vapor
924.14	0.10132	0.28504	3.5082	954.29	1309.8	8.3546	0.90676	1.2036	687.01	-0.70366	46.744	0.076040	vapor
926.98	0.10132	0.28437	3.5165	956.86	1313.2	8.3575	0.90722	1.2041	687.78	-0.70486	46.815	0.076180	vapor
929.82	0.10132	0.28370	3.5248	959.44	1316.6	8.3603	0.90768	1.2045	688.55	-0.70606	46.886	0.076320	vapor
932.65	0.10132	0.28303	3.5331	962.01	1320.0	8.3631	0.90813	1.2050	689.32	-0.70725	46.958	0.076460	vapor
935.49	0.10132	0.28237	3.5415	964.59	1323.4	8.3660	0.90859	1.2054	690.09	-0.70843	47.029	0.076599	vapor
938.33	0.10132	0.28171	3.5498	967.17	1326.8	8.3688	0.90904	1.2059	690.85	-0.70960	47.100	0.076739	vapor
941.16	0.10132	0.28105	3.5581	969.74	1330.3	8.3716	0.90949	1.2063	691.62	-0.71076	47.171	0.076879	vapor
944.00	0.10132	0.28040	3.5664	972.33	1333.7	8.3744	0.90994	1.2068	692.38	-0.71191	47.242	0.077018	vapor
946.84	0.10132	0.27974	3.5747	974.91	1337.1	8.3772	0.91038	1.2072	693.15	-0.71306	47.313	0.077157	vapor
949.67	0.10132	0.27910	3.5830	977.49	1340.5	8.3800	0.91083	1.2077	693.91	-0.71420	47.384	0.077296	vapor
952.51	0.10132	0.27845	3.5913	980.07	1344.0	8.3828	0.91127	1.2081	694.67	-0.71533	47.455	0.077435	vapor
955.34	0.10132	0.27781	3.5996	982.66	1347.4	8.3856	0.91171	1.2086	695.43	-0.71645	47.526	0.077574	vapor
958.18	0.10132	0.27717	3.6079	985.25	1350.8	8.3884	0.91215	1.2090	696.19	-0.71757	47.597	0.077713	vapor
961.02	0.10132	0.27653	3.6162	987.83	1354.2	8.3912	0.91259	1.2094	696.95	-0.71868	47.668	0.077852	vapor
963.85	0.10132	0.27590	3.6245	990.42	1357.7	8.3940	0.91302	1.2099	697.71	-0.71978	47.738	0.077990	vapor
966.69	0.10132	0.27527	3.6329	993.01	1361.1	8.3968	0.91346	1.2103	698.47	-0.72087	47.809	0.078129	vapor
969.53	0.10132	0.27464	3.6412	995.60	1364.5	8.3995	0.91389	1.2107	699.23	-0.72195	47.879	0.078267	vapor
972.36	0.10132	0.27401	3.6495	998.20	1368.0	8.4023	0.91432	1.2112	699.99	-0.72303	47.950	0.078405	vapor
975.20	0.10132	0.27339	3.6578	1000.8	1371.4	8.4050	0.91475	1.2116	700.74	-0.72410	48.020	0.078543	vapor
978.04	0.10132	0.27277	3.6661	1003.4	1374.9	8.4078	0.91518	1.2120	701.50	-0.72516	48.091	0.078681	vapor
980.87	0.10132	0.27215	3.6744	1006.0	1378.3	8.4105	0.91561	1.2124	702.25	-0.72622	48.161	0.078819	vapor
983.71	0.10132	0.27154	3.6827	1008.6	1381.7	8.4133	0.91603	1.2129	703.00	-0.72727	48.231	0.078957	vapor
986.55	0.10132	0.27093	3.6910	1011.2	1385.2	8.4160	0.91646	1.2133	703.76	-0.72831	48.301	0.079095	vapor
989.38	0.10132	0.27032	3.6993	1013.8	1388.6	8.4187	0.91688	1.2137	704.51	-0.72934	48.371	0.079232	vapor
992.22	0.10132	0.26971	3.7076	1016.4	1392.1	8.4215	0.91730	1.2141	705.26	-0.73037	48.441	0.079370	vapor
995.05	0.10132	0.26911	3.7159	1019.0	1395.5	8.4242	0.91772	1.2146	706.01	-0.73139	48.511	0.079507	vapor
997.89	0.10132	0.26851	3.7243	1021.6	1398.9	8.4269	0.91814	1.2150	706.76	-0.73240	48.581	0.079644	vapor
1000.7	0.10132	0.26791	3.7326	1024.2	1402.4	8.4296	0.91855	1.2154	707.51	-0.73341	48.651	0.079781	vapor
1003.6	0.10132	0.26732	3.7409	1026.8	1405.8	8.4323	0.91897	1.2158	708.25	-0.73441	48.721	0.079918	vapor
1006.4	0.10132	0.26672	3.7492	1029.4	1409.3	8.4350	0.91938	1.2162	709.00	-0.73540	48.791	0.080055	vapor
1009.2	0.10132	0.26614	3.7575	1032.0	1412.7	8.4377	0.91979	1.2166	709.75	-0.73639	48.860	0.080192	vapor
1012.1	0.10132	0.26555	3.7658	1034.6	1416.2	8.4404	0.92020	1.2170	710.49	-0.73737	48.930	0.080328	vapor
1014.9	0.10132	0.26496	3.7741	1037.2	1419.6	8.4431	0.92061	1.2174	711.24	-0.73834	49.000	0.080465	vapor
1017.7	0.10132	0.26438	3.7824	1039.8	1423.1	8.4457	0.92101	1.2178	711.98	-0.73931	49.069	0.080601	vapor
1020.6	0.10132	0.26380	3.7907	1042.5	1426.6	8.4484	0.92142	1.2183	712.73	-0.74027	49.139	0.080737	vapor
1023.4	0.10132	0.26322	3.7990	1045.1	1430.0	8.4511	0.92182	1.2187	713.47	-0.74122	49.208	0.080873	vapor
1026.3	0.10132	0.26265	3.8073	1047.7	1433.5	8.4538	0.92222	1.2191	714.21	-0.74217	49.278	0.081009	vapor
1029.1	0.10132	0.26208	3.8157	1050.3	1436.9	8.4564	0.92262	1.2195	714.95	-0.74311	49.347	0.081145	vapor
1031.9	0.10132	0.26151	3.8240	1052.9	1440.4	8.4591	0.92302	1.2199	715.69	-0.74405	49.416	0.081281	vapor
1034.8	0.10132	0.26094	3.8323	1055.5	1443.8	8.4617	0.92342	1.2203	716.43	-0.74497	49.485	0.081417	vapor
1037.6	0.10132	0.26038	3.8406	1058.2	1447.3	8.4644	0.92381	1.2206	717.17	-0.74590	49.554	0.081552	vapor
1040.4	0.10132	0.25982	3.8489	1060.8	1450.8	8.4670	0.92421	1.2210	717.91	-0.74681	49.624	0.081688	vapor
1043.3	0.10132	0.25926	3.8572	1063.4	1454.2	8.4696	0.92460	1.2214	718.64	-0.74773	49.693	0.081823	vapor
1046.1	0.10132	0.25870	3.8655	1066.0	1457.7	8.4723	0.92499	1.2218	719.38	-0.74863	49.762	0.081959	vapor
1048.9	0.10132	0.25814	3.8738	1068.7	1461.2	8.4749	0.92538	1.2222	720.12	-0.74953	49.830	0.082094	vapor
1051.8	0.10132	0.25759	3.8821	1071.3	1464.6	8.4775	0.92577	1.2226	720.85	-0.75042	49.899	0.082229	vapor
1054.6	0.10132	0.25704	3.8904	1073.9	1468.1	8.4801	0.92616	1.2230	721.58	-0.75131	49.968	0.082364	vapor
1057.5	0.10132	0.25649	3.8987	1076.5	1471.6	8.4827	0.92654	1.2234	722.32	-0.75219	50.037	0.082498	vapor
1060.3	0.10132	0.25595	3.9071	1079.2	1475.0	8.4853	0.92692	1.2238	723.05	-0.75307	50.106	0.082633	vapor
1063.1	0.10132	0.25540	3.9154	1081.8	1478.5	8.4879	0.92731	1.2241	723.78	-0.75394	50.174	0.082768	vapor
1066.0	0.10132	0.25486	3.9237	1084.4	1482.0	8.4905	0.92769	1.2245	724.51	-0.75481	50.243	0.082902	vapor
1068.8	0.10132	0.25432	3.9320	1087.1	1485.5	8.4931	0.92807	1.2249	725.24	-0.75567	50.312	0.083037	vapor
1071.6	0.10132	0.25379	3.9403	1089.7	1488.9	8.4957	0.92845	1.2253	725.97	-0.75652	50.380	0.083171	vapor
1074.5	0.10132	0.25325	3.9486	1092.3	1492.4	8.4983	0.92882	1.2257	726.70	-0.75737	50.449	0.083305	vapor
1077.3	0.10132	0.25272	3.9569	1095.0	1495.9	8.5009	0.92920	1.2260	727.43	-0.75821	50.517	0.083439	vapor
1080.1	0.10132	0.25219	3.9652	1097.6	1499.4	8.5034	0.92957	1.2264	728.16	-0.75905	50.585	0.083573	vapor
1083.0	0.10132	0.25167	3.9735	1100.2	1502.8	8.5060	0.92994	1.2268	728.89	-0.75988	50.654	0.083707	vapor
1085.8	0.10132	0.25114	3.9818	1102.9	1506.3	8.5086	0.93031	1.2271	729.61	-0.76071	50.722	0.083841	vapor
1088.7	0.10132	0.25062	3.9901	1105.5	1509.8	8.5111	0.93068	1.2275	730.34	-0.76153	50.790	0.083974	vapor
1091.5	0.10132	0.25010	3.9984	1108.1	1513.3	8.5137	0.93105	1.2279	731.06	-0.76235	50.858	0.084108	vapor
1094.3	0.10132	0.24958	4.0068	1110.8	1516.8	8.5162	0.93142	1.2282	731.79	-0.76316	50.926	0.084241	vapor
1097.2	0.10132	0.24906	4.0151	1113.4	1520.3	8.5188	0.93178	1.2286	732.51	-0.76396	50.994	0.084374	vapor
1100.0	0.10132	0.24855	4.0234	1116.1	1523.7	8.5213	0.93215	1.2290	733.23	-0.76477	51.062	0.084508	vapor
1102.8	0.10132	0.24804	4.0317	1118.7	1527.2	8.5239	0.93251	1.2293	733.96	-0.76556	51.130	0.084641	vapor
1105.7	0.10132	0.24753	4.0400	1121.4	1530.7	8.5264	0.93287	1.2297	734.68	-0.76635	51.198	0.084774	vapor
1108.5	0.10132	0.24702	4.0483	1124.0	1534.2	8.5289	0.93323	1.2301	735.40	-0.76714	51.266	0.084907	vapor
1111.3	0.10132	0.24651	4.0566	1126.7	1537.7	8.5314	0.93359	1.2304	736.12	-0.76792	51.334	0.085039	vapor
1114.2	0.10132	0.24601	4.0649	1129.3	1541.2	8.5340	0.93395	1.2308	736.84	-0.76870	51.402	0.085172	vapor
1117.0	0.10132	0.24551	4.0732	1132.0	1544.7	8.5365	0.93430	1.2311	737.56	-0.76947	51.469	0.085305	vapor
1119.9	0.10132	0.24501	4.0815	1134.6	1548.2	8.5390	0.93466	1.2315	738.27	-0.77024	51.537	0.085437	vapor
1122.7	0.10132	0.24451	4.0898	1137.3	1551.7	8.5415	0.93501	1.2318	738.99	-0.77100	51.605	0.085570	vapor
1125.5	0.10132	0.24401	4.0982	1139.9	1555.2	8.5440	0.93536	1.2322	739.71	-0.77176	51.672	0.085702	vapor
1128.4	0.10132	0.24352	4.1065	1142.6	1558.7	8.5465	0.93571	1.2325	740.42	-0.77251	51.740	0.085834	vapor
1131.2	0.10132	0.24303	4.1148	1145.2	1562.1	8.5490	0.93606	1.2329	741.14	-0.77326	51.807	0.085966	vapor
1134.0	0.10132	0.24254	4.1231	1147.9	1565.6	8.5515	0.93641	1.2332	741.85	-0.77400	51.875	0.086098	vapor
1136.9	0.10132	0.24205	4.1314	1150.5	1569.1	8.5539	0.93675	1.2336	742.57	-0.77474	51.942	0.086230	vapor
1139.7	0.10132	0.24156	4.1397	1153.2	1572.6	8.5564	0.93710	1.2339	743.28	-0.77548	52.009	0.086362	vapor
1142.5	0.10132	0.24108	4.1480	1155.8	1576.1	8.5589	0.93744	1.2343	743.99	-0.77621	52.077	0.086493	vapor
1145.4	0.10132	0.24060	4.1563	1158.5	1579.6	8.5614	0.93778	1.2346	744.70	-0.77693	52.144	0.086625	vapor
1148.2	0.10132	0.24012	4.1646	1161.2	1583.1	8.5638	0.93813	1.2350	745.42	-0.77765	52.211	0.086756	vapor
1151.1	0.10132	0.23964	4.1729	1163.8	1586.7	8.5663	0.93847	1.2353	746.13	-0.77837	52.278	0.086888	vapor
1153.9	0.10132	0.23916	4.1812	1166.5	1590.2	8.5688	0.93880	1.2356	746.84	-0.77908	52.345	0.087019	vapor
1156.7	0.10132	0.23869	4.1896	1169.2	1593.7	8.5712	0.93914	1.2360	747.54	-0.77979	52.412	0.087150	vapor
1159.6	0.10132	0.23822	4.1979	1171.8	1597.2	8.5737	0.93948	1.2363	748.25	-0.78049	52.479	0.087281	vapor
1162.4	0.10132	0.23775	4.2062	1174.5	1600.7	8.5761	0.93981	1.2366	748.96	-0.78119	52.546	0.087412	vapor
1165.2	0.10132	0.23728	4.2145	1177.1	1604.2	8.5786	0.94015	1.2370	749.67	-0.78189	52.613	0.087543	vapor
1168.1	0.10132	0.23681	4.2228	1179.8	1607.7	8.5810	0.94048	1.2373	750.38	-0.78258	52.680	0.087674	vapor
1170.9	0.10132	0.23635	4.2311	1182.5	1611.2	8.5834	0.94081	1.2376	751.08	-0.78326	52.747	0.087804	vapor
1173.7	0.10132	0.23588	4.2394	1185.2	1614.7	8.5859	0.94114	1.2380	751.79	-0.78395	52.814	0.087935	vapor
1176.6	0.10132	0.23542	4.2477	1187.8	1618.2	8.5883	0.94147	1.2383	752.49	-0.78463	52.881	0.088065	vapor
1179.4	0.10132	0.23496	4.2560	1190.5	1621.7	8.5907	0.94179	1.2386	753.20	-0.78530	52.947	0.088196	vapor
1182.3	0.10132	0.23450	4.2643	1193.2	1625.2	8.5931	0.94212	1.2389	753.90	-0.78597	53.014	0.088326	vapor
1185.1	0.10132	0.23405	4.2726	1195.8	1628.8	8.5955	0.94245	1.2393	754.60	-0.78664	53.081	0.088456	vapor
1187.9	0.10132	0.23359	4.2809	1198.5	1632.3	8.5979	0.94277	1.2396	755.30	-0.78730	53.147	0.088586	vapor
1190.8	0.10132	0.23314	4.2893	1201.2	1635.8	8.6003	0.94309	1.2399	756.00	-0.78796	53.214	0.088716	vapor
1193.6	0.10132	0.23269	4.2976	1203.9	1639.3	8.6027	0.94341	1.2402	756.71	-0.78861	53.280	0.088846	vapor
1196.4	0.10132	0.23224	4.3059	1206.5	1642.8	8.6051	0.94373	1.2406	757.41	-0.78926	53.347	0.088976	vapor
1199.3	0.10132	0.23179	4.3142	1209.2	1646.4	8.6075	0.94405	1.2409	758.11	-0.78991	53.413	0.089105	vapor
1202.1	0.10132	0.23135	4.3225	1211.9	1649.9	8.6099	0.94437	1.2412	758.80	-0.79055	53.479	0.089235	vapor
1204.9	0.10132	0.23090	4.3308	1214.6	1653.4	8.6123	0.94469	1.2415	759.50	-0.79119	53.546	0.089364	vapor
1207.8	0.10132	0.23046	4.3391	1217.3	1656.9	8.6147	0.94500	1.2418	760.20	-0.79183	53.612	0.089494	vapor
1210.6	0.10132	0.23002	4.3474	1219.9	1660.4	8.6171	0.94531	1.2421	760.90	-0.79246	53.678	0.089623	vapor
1213.5	0.10132	0.22958	4.3557	1222.6	1664.0	8.6194	0.94563	1.2424	761.59	-0.79309	53.744	0.089752	vapor
1216.3	0.10132	0.22915	4.3640	1225.3	1667.5	8.6218	0.94594	1.2428	762.29	-0.79371	53.810	0.089882	vapor
1219.1	0.10132	0.22871	4.3723	1228.0	1671.0	8.6242	0.94625	1.2431	762.98	-0.79433	53.877	0.090011	vapor
1222.0	0.10132	0.22828	4.3807	1230.7	1674.5	8.6265	0.94656	1.2434	763.68	-0.79495	53.943	0.090139	vapor
1224.8	0.10132	0.22784	4.3890	1233.4	1678.1	8.6289	0.94687	1.2437	764.37	-0.79556	54.009	0.090268	vapor
1227.6	0.10132	0.22741	4.3973	1236.0	1681.6	8.6312	0.94717	1.2440	765.07	-0.79617	54.075	0.090397	vapor
1230.5	0.10132	0.22698	4.4056	1238.7	1685.1	8.6336	0.94748	1.2443	765.76	-0.79678	54.140	0.090526	vapor
1233.3	0.10132	0.22656	4.4139	1241.4	1688.7	8.6359	0.94779	1.2446	766.45	-0.79738	54.206	0.090654	vapor
1236.1	0.10132	0.22613	4.4222	1244.1	1692.2	8.6383	0.94809	1.2449	767.14	-0.79798	54.272	0.090783	vapor
1239.0	0.10132	0.22571	4.4305	1246.8	1695.7	8.6406	0.94839	1.2452	767.83	-0.79858	54.338	0.090911	vapor
1241.8	0.10132	0.22529	4.4388	1249.5	1699.2	8.6429	0.94869	1.2455	768.52	-0.79917	54.404	0.091039	vapor
1244.7	0.10132	0.22486	4.4471	1252.2	1702.8	8.6453	0.94899	1.2458	769.21	-0.79976	54.469	0.091167	vapor
1247.5	0.10132	0.22445	4.4554	1254.9	1706.3	8.6476	0.94929	1.2461	769.90	-0.80034	54.535	0.091296	vapor
1250.3	0.10132	0.22403	4.4637	1257.6	1709.8	8.6499	0.94959	1.2464	770.59	-0.80093	54.601	0.091424	vapor
1253.2	0.10132	0.22361	4.4721	1260.3	1713.4	8.6522	0.94989	1.2467	771.28	-0.80150	54.666	0.091552	vapor
1256.0	0.10132	0.22320	4.4804	1262.9	1716.9	8.6546	0.95018	1.2470	771.97	-0.80208	54.732	0.091679	vapor
1258.8	0.10132	0.22278	4.4887	1265.6	1720.5	8.6569	0.95048	1.2473	772.65	-0.80265	54.798	0.091807	vapor
1261.7	0.10132	0.22237	4.4970	1268.3	1724.0	8.6592	0.95077	1.2476	773.34	-0.80322	54.863	0.091935	vapor
1264.5	0.10132	0.22196	4.5053	1271.0	1727.5	8.6615	0.95106	1.2479	774.03	-0.80379	54.928	0.092062	vapor
1267.4	0.10132	0.22155	4.5136	1273.7	1731.1	8.6638	0.95136	1.2482	774.71	-0.80435	54.994	0.092190	vapor
1270.2	0.10132	0.22115	4.5219	1276.4	1734.6	8.6661	0.95165	1.2485	775.40	-0.80491	55.059	0.092317	vapor
1273.0	0.10132	0.22074	4.5302	1279.1	1738.2	8.6684	0.95194	1.2488	776.08	-0.80546	55.125	0.092444	vapor
1275.9	0.10132	0.22034	4.5385	1281.8	1741.7	8.6707	0.95222	1.2490	776.76	-0.80601	55.190	0.092572	vapor
1278.7	0.10132	0.21993	4.5468	1284.5	1745.2	8.6729	0.95251	1.2493	777.44	-0.80656	55.255	0.092699	vapor
1281.5	0.10132	0.21953	4.5551	1287.2	1748.8	8.6752	0.95280	1.2496	778.13	-0.80711	55.320	0.092826	vapor
1284.4	0.10132	0.21913	4.5634	1289.9	1752.3	8.6775	0.95308	1.2499	778.81	-0.80765	55.385	0.092953	vapor
1287.2	0.10132	0.21873	4.5718	1292.6	1755.9	8.6798	0.95337	1.2502	779.49	-0.80819	55.451	0.093079	vapor
1290.0	0.10132	0.21834	4.5801	1295.3	1759.4	8.6820	0.95365	1.2505	780.17	-0.80873	55.516	0.093206	vapor
1292.9	0.10132	0.21794	4.5884	1298.1	1763.0	8.6843	0.95393	1.2507	780.85	-0.80927	55.581	0.093333	vapor
1295.7	0.10132	0.21755	4.5967	1300.8	1766.5	8.6866	0.95421	1.2510	781.53	-0.80980	55.646	0.093459	vapor
1298.6	0.10132	0.21716	4.6050	1303.5	1770.1	8.6888	0.95449	1.2513	782.21	-0.81032	55.711	0.093586	vapor
1301.4	0.10132	0.21676	4.6133	1306.2	1773.6	8.6911	0.95477	1.2516	782.89	-0.81085	55.776	0.093712	vapor
1304.2	0.10132	0.21637	4.6216	1308.9	1777.2	8.6933	0.95505	1.2519	783.56	-0.81137	55.841	0.093839	vapor
1307.1	0.10132	0.21599	4.6299	1311.6	1780.7	8.6956	0.95533	1.2521	784.24	-0.81189	55.905	0.093965	vapor
1309.9	0.10132	0.21560	4.6382	1314.3	1784.3	8.6978	0.95560	1.2524	784.92	-0.81241	55.970	0.094091	vapor
1312.7	0.10132	0.21521	4.6465	1317.0	1787.8	8.7001	0.95588	1.2527	785.59	-0.81292	56.035	0.094217	vapor
1315.6	0.10132	0.21483	4.6548	1319.7	1791.4	8.7023	0.95615	1.2530	786.27	-0.81343	56.100	0.094343	vapor
1318.4	0.10132	0.21445	4.6632	1322.4	1794.9	8.7046	0.95642	1.2532	786.94	-0.81394	56.165	0.094469	vapor
1321.2	0.10132	0.21407	4.6715	1325.2	1798.5	8.7068	0.95670	1.2535	787.62	-0.81444	56.229	0.094595	vapor
1324.1	0.10132	0.21369	4.6798	1327.9	1802.0	8.7090	0.95697	1.2538	788.29	-0.81494	56.294	0.094721	vapor
1326.9	0.10132	0.21331	4.6881	1330.6	1805.6	8.7112	0.95724	1.2541	788.96	-0.81544	56.359	0.094846	vapor
1329.8	0.10132	0.21293	4.6964	1333.3	1809.2	8.7135	0.95751	1.2543	789.63	-0.81594	56.423	0.094972	vapor
1332.6	0.10132	0.21255	4.7047	1336.0	1812.7	8.7157	0.95777	1.2546	790.31	-0.81643	56.488	0.095097	vapor
1335.4	0.10132	0.21218	4.7130	1338.7	1816.3	8.7179	0.95804	1.2549	790.98	-0.81692	56.552	0.095223	vapor
1338.3	0.10132	0.21181	4.7213	1341.4	1819.8	8.7201	0.95831	1.2551	791.65	-0.81741	56.617	0.095348	vapor
1341.1	0.10132	0.21143	4.7296	1344.2	1823.4	8.7223	0.95857	1.2554	792.32	-0.81790	56.681	0.095473	vapor
1343.9	0.10132	0.21106	4.7379	1346.9	1827.0	8.7245	0.95884	1.2557	792.99	-0.81838	56.745	0.095598	vapor
1346.8	0.10132	0.21069	4.7462	1349.6	1830.5	8.7267	0.95910	1.2559	793.66	-0.81886	56.810	0.095723	vapor
1349.6	0.10132	0.21033	4.7545	1352.3	1834.1	8.7289	0.95936	1.2562	794.33	-0.81934	56.874	0.095848	vapor
1352.4	0.10132	0.20996	4.7629	1355.0	1837.6	8.7311	0.95962	1.2564	794.99	-0.81981	56.938	0.095973	vapor
1355.3	0.10132	0.20959	4.7712	1357.8	1841.2	8.7333	0.95988	1.2567	795.66	-0.82029	57.003	0.096098	vapor
1358.1	0.10132	0.20923	4.7795	1360.5	1844.8	8.7355	0.96014	1.2570	796.33	-0.82075	57.067	0.096223	vapor
1361.0	0.10132	0.20887	4.7878	1363.2	1848.3	8.7377	0.96040	1.2572	796.99	-0.82122	57.131	0.096348	vapor
1363.8	0.10132	0.20850	4.7961	1365.9	1851.9	8.7399	0.96066	1.2575	797.66	-0.82169	57.195	0.096472	vapor
1366.6	0.10132	0.20814	4.8044	1368.7	1855.5	8.7420	0.96091	1.2577	798.33	-0.82215	57.259	0.096597	vapor
1369.5	0.10132	0.20778	4.8127	1371.4	1859.0	8.7442	0.96117	1.2580	798.99	-0.82261	57.323	0.096721	vapor
1372.3	0.10132	0.20743	4.8210	1374.1	1862.6	8.7464	0.96142	1.2582	799.65	-0.82306	57.388	0.096845	vapor
1375.1	0.10132	0.20707	4.8293	1376.8	1866.2	8.7485	0.96168	1.2585	800.32	-0.82352	57.452	0.096970	vapor
1378.0	0.10132	0.20671	4.8376	1379.6	1869.7	8.7507	0.96193	1.2587	800.98	-0.82397	57.516	0.097094	vapor
1380.8	0.10132	0.20636	4.8459	1382.3	1873.3	8.7529	0.96218	1.2590	801.64	-0.82442	57.579	0.097218	vapor
1383.6	0.10132	0.20601	4.8542	1385.0	1876.9	8.7550	0.96243	1.2592	802.31	-0.82487	57.643	0.097342	vapor
1386.5	0.10132	0.20565	4.8626	1387.8	1880.5	8.7572	0.96268	1.2595	802.97	-0.82531	57.707	0.097466	vapor
1389.3	0.10132	0.20530	4.8709	1390.5	1884.0	8.7593	0.96293	1.2597	803.63	-0.82575	57.771	0.097590	vapor
1392.2	0.10132	0.20495	4.8792	1393.2	1887.6	8.7615	0.96318	1.2600	804.29	-0.82619	57.835	0.097714	vapor
1395.0	0.10132	0.20460	4.8875	1396.0	1891.2	8.7636	0.96343	1.2602	804.95	-0.82663	57.899	0.097837	vapor
1397.8	0.10132	0.20426	4.8958	1398.7	1894.8	8.7658	0.96368	1.2605	805.61	-0.82707	57.962	0.097961	vapor
1400.7	0.10132	0.20391	4.9041	1401.4	1898.3	8.7679	0.96392	1.2607	806.27	-0.82750	58.026	0.098084	vapor
1403.5	0.10132	0.20357	4.9124	1404.2	1901.9	8.7700	0.96417	1.2610	806.93	-0.82793	58.090	0.098208	vapor
1406.3	0.10132	0.20322	4.9207	1406.9	1905.5	8.7722	0.96441	1.2612	807.58	-0.82836	58.154	0.098331	vapor
1409.2	0.10132	0.20288	4.9290	1409.6	1909.1	8.7743	0.96465	1.2615	808.24	-0.82878	58.217	0.098455	vapor
1412.0	0.10132	0.20254	4.9373	1412.4	1912.6	8.7764	0.96490	1.2617	808.90	-0.82921	58.281	0.098578	vapor
1414.8	0.10132	0.20220	4.9456	1415.1	1916.2	8.7785	0.96514	1.2620	809.55	-0.82963	58.344	0.098701	vapor
1417.7	0.10132	0.20186	4.9540	1417.8	1919.8	8.7807	0.96538	1.2622	810.21	-0.83004	58.408	0.098824	vapor
1420.5	0.10132	0.20152	4.9623	1420.6	1923.4	8.7828	0.96562	1.2624	810.87	-0.83046	58.471	0.098947	vapor
1423.4	0.10132	0.20118	4.9706	1423.3	1927.0	8.7849	0.96586	1.2627	811.52	-0.83088	58.535	0.099070	vapor
1426.2	0.10132	0.20085	4.9789	1426.1	1930.5	8.7870	0.96610	1.2629	812.17	-0.83129	58.598	0.099193	vapor
1429.0	0.10132	0.20051	4.9872	1428.8	1934.1	8.7891	0.96633	1.2631	812.83	-0.83170	58.662	0.099316	vapor
1431.9	0.10132	0.20018	4.9955	1431.5	1937.7	8.7912	0.96657	1.2634	813.48	-0.83211	58.725	0.099439	vapor
1434.7	0.10132	0.19985	5.0038	1434.3	1941.3	8.7933	0.96680	1.2636	814.13	-0.83251	58.788	0.099561	vapor
1437.5	0.10132	0.19952	5.0121	1437.0	1944.9	8.7954	0.96704	1.2639	814.79	-0.83291	58.852	0.099684	vapor
1440.4	0.10132	0.19919	5.0204	1439.8	1948.5	8.7975	0.96727	1.2641	815.44	-0.83332	58.915	0.099806	vapor
1443.2	0.10132	0.19886	5.0287	1442.5	1952.0	8.7996	0.96751	1.2643	816.09	-0.83371	58.978	0.099929	vapor
1446.0	0.10132	0.19853	5.0370	1445.3	1955.6	8.8017	0.96774	1.2646	816.74	-0.83411	59.041	0.10005	vapor
1448.9	0.10132	0.19820	5.0453	1448.0	1959.2	8.8038	0.96797	1.2648	817.39	-0.83451	59.104	0.10017	vapor
1451.7	0.10132	0.19788	5.0537	1450.7	1962.8	8.8058	0.96820	1.2650	818.04	-0.83490	59.168	0.10030	vapor
