Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
450.46	0.10132	0.47159	2.1205	546.76	761.62	7.7740	0.80681	1.1038	542.28	-0.26919	33.608	0.050935	vapor
453.30	0.10132	0.46974	2.1288	549.05	764.75	7.7783	0.80749	1.1045	543.28	-0.27434	33.697	0.051094	vapor
456.14	0.10132	0.46792	2.1371	551.34	767.88	7.7826	0.80818	1.1051	544.28	-0.27944	33.785	0.051254	vapor
458.97	0.10132	0.46611	2.1454	553.63	771.02	7.7869	0.80887	1.1058	545.27	-0.28449	33.872	0.051413	vapor
461.81	0.10132	0.46431	2.1537	555.93	774.15	7.7912	0.80956	1.1065	546.26	-0.28949	33.960	0.051572	vapor
464.64	0.10132	0.46252	2.1621	558.22	777.29	7.7955	0.81025	1.1072	547.25	-0.29443	34.048	0.051731	vapor
467.48	0.10132	0.46075	2.1704	560.52	780.44	7.7997	0.81094	1.1079	548.24	-0.29932	34.135	0.051890	vapor
470.32	0.10132	0.45899	2.1787	562.82	783.58	7.8040	0.81163	1.1086	549.22	-0.30416	34.222	0.052049	vapor
473.15	0.10132	0.45725	2.1870	565.13	786.72	7.8082	0.81232	1.1093	550.21	-0.30895	34.309	0.052208	vapor
475.99	0.10132	0.45552	2.1953	567.43	789.87	7.8124	0.81301	1.1100	551.19	-0.31369	34.396	0.052367	vapor
478.83	0.10132	0.45380	2.2036	569.74	793.02	7.8166	0.81370	1.1107	552.17	-0.31838	34.483	0.052525	vapor
481.66	0.10132	0.45210	2.2119	572.05	796.17	7.8208	0.81439	1.1113	553.15	-0.32302	34.570	0.052684	vapor
484.50	0.10132	0.45040	2.2202	574.36	799.33	7.8249	0.81508	1.1120	554.12	-0.32762	34.656	0.052842	vapor
487.34	0.10132	0.44872	2.2285	576.67	802.48	7.8291	0.81577	1.1127	555.09	-0.33217	34.743	0.053001	vapor
490.17	0.10132	0.44706	2.2369	578.99	805.64	7.8332	0.81646	1.1134	556.06	-0.33667	34.829	0.053159	vapor
493.01	0.10132	0.44540	2.2452	581.31	808.80	7.8374	0.81715	1.1141	557.03	-0.34112	34.915	0.053317	vapor
