Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
99.892	250.00	969.72	0.0010312	411.72	437.50	1.2871	3.7318	4.1622	1595.0	-0.018203	288.72	0.69260	liquid
101.52	250.00	968.59	0.0010324	418.47	444.28	1.3053	3.7239	4.1637	1593.8	-0.018118	283.96	0.69318	liquid
103.15	250.00	967.45	0.0010336	425.22	451.06	1.3233	3.7160	4.1654	1592.6	-0.018032	279.33	0.69374	liquid
104.78	250.00	966.30	0.0010349	431.97	457.84	1.3413	3.7082	4.1670	1591.3	-0.017946	274.83	0.69426	liquid
106.40	250.00	965.14	0.0010361	438.73	464.63	1.3592	3.7004	4.1687	1589.9	-0.017859	270.47	0.69475	liquid
108.03	250.00	963.97	0.0010374	445.48	471.42	1.3771	3.6926	4.1705	1588.5	-0.017771	266.23	0.69521	liquid
109.66	250.00	962.79	0.0010386	452.24	478.21	1.3949	3.6848	4.1723	1587.0	-0.017683	262.12	0.69565	liquid
111.29	250.00	961.60	0.0010399	459.01	485.00	1.4126	3.6770	4.1742	1585.4	-0.017594	258.12	0.69605	liquid
112.92	250.00	960.40	0.0010412	465.77	491.80	1.4302	3.6693	4.1761	1583.7	-0.017504	254.23	0.69643	liquid
114.54	250.00	959.19	0.0010425	472.54	498.60	1.4478	3.6616	4.1780	1582.0	-0.017414	250.45	0.69678	liquid
116.17	250.00	957.97	0.0010439	479.31	505.41	1.4653	3.6539	4.1800	1580.2	-0.017323	246.77	0.69711	liquid
117.80	250.00	956.73	0.0010452	486.08	512.21	1.4827	3.6462	4.1821	1578.4	-0.017231	243.19	0.69741	liquid
119.43	250.00	955.49	0.0010466	492.86	519.02	1.5001	3.6385	4.1842	1576.4	-0.017138	239.71	0.69768	liquid
121.06	250.00	954.24	0.0010480	499.64	525.84	1.5175	3.6309	4.1863	1574.5	-0.017044	236.33	0.69793	liquid
122.69	250.00	952.98	0.0010493	506.42	532.65	1.5347	3.6233	4.1886	1572.4	-0.016950	233.03	0.69815	liquid
124.31	250.00	951.70	0.0010507	513.21	539.48	1.5519	3.6158	4.1908	1570.3	-0.016854	229.82	0.69834	liquid
125.94	250.00	950.42	0.0010522	520.00	546.30	1.5690	3.6082	4.1932	1568.1	-0.016758	226.69	0.69852	liquid
127.57	250.00	949.13	0.0010536	526.79	553.13	1.5861	3.6007	4.1956	1565.9	-0.016660	223.64	0.69867	liquid
129.20	250.00	947.82	0.0010550	533.59	559.96	1.6031	3.5932	4.1980	1563.6	-0.016562	220.67	0.69879	liquid
130.83	250.00	946.51	0.0010565	540.39	566.80	1.6201	3.5858	4.2005	1561.3	-0.016463	217.78	0.69889	liquid
132.45	250.00	945.19	0.0010580	547.19	573.64	1.6370	3.5784	4.2031	1558.8	-0.016362	214.95	0.69897	liquid
134.08	250.00	943.86	0.0010595	554.00	580.48	1.6538	3.5710	4.2057	1556.4	-0.016261	212.20	0.69902	liquid
