Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	30.000	998.35	0.0010017	104.60	107.60	0.36645	4.1279	4.1730	1501.6	-0.022139	889.42	0.60851	liquid
26.042	30.000	998.08	0.0010019	108.94	111.95	0.38100	4.1239	4.1727	1504.3	-0.022070	868.80	0.61027	liquid
27.083	30.000	997.79	0.0010022	113.29	116.29	0.39550	4.1198	4.1725	1507.0	-0.022002	848.94	0.61202	liquid
28.125	30.000	997.49	0.0010025	117.63	120.64	0.40995	4.1156	4.1723	1509.6	-0.021934	829.81	0.61375	liquid
29.167	30.000	997.19	0.0010028	121.98	124.99	0.42435	4.1115	4.1721	1512.1	-0.021868	811.36	0.61546	liquid
30.208	30.000	996.87	0.0010031	126.32	129.33	0.43871	4.1072	4.1720	1514.6	-0.021802	793.58	0.61715	liquid
31.250	30.000	996.55	0.0010035	130.67	133.68	0.45301	4.1029	4.1719	1516.9	-0.021736	776.41	0.61881	liquid
32.292	30.000	996.22	0.0010038	135.01	138.02	0.46726	4.0986	4.1719	1519.2	-0.021671	759.84	0.62046	liquid
33.333	30.000	995.88	0.0010041	139.36	142.37	0.48146	4.0942	4.1718	1521.4	-0.021607	743.83	0.62208	liquid
34.375	30.000	995.52	0.0010045	143.70	146.72	0.49562	4.0898	4.1718	1523.6	-0.021543	728.37	0.62369	liquid
35.417	30.000	995.17	0.0010049	148.05	151.06	0.50972	4.0853	4.1719	1525.7	-0.021479	713.42	0.62527	liquid
36.458	30.000	994.80	0.0010052	152.39	155.41	0.52378	4.0808	4.1719	1527.7	-0.021417	698.97	0.62682	liquid
37.500	30.000	994.42	0.0010056	156.74	159.75	0.53780	4.0763	4.1720	1529.6	-0.021354	684.98	0.62836	liquid
38.542	30.000	994.04	0.0010060	161.08	164.10	0.55176	4.0717	4.1721	1531.5	-0.021292	671.45	0.62987	liquid
39.583	30.000	993.64	0.0010064	165.43	168.44	0.56568	4.0671	4.1723	1533.3	-0.021231	658.34	0.63136	liquid
40.625	30.000	993.24	0.0010068	169.77	172.79	0.57956	4.0624	4.1724	1535.0	-0.021170	645.65	0.63282	liquid
41.667	30.000	992.83	0.0010072	174.12	177.14	0.59339	4.0577	4.1726	1536.7	-0.021109	633.35	0.63426	liquid
42.708	30.000	992.42	0.0010076	178.46	181.48	0.60717	4.0529	4.1728	1538.3	-0.021048	621.43	0.63568	liquid
43.750	30.000	991.99	0.0010081	182.81	185.83	0.62091	4.0482	4.1730	1539.8	-0.020988	609.87	0.63707	liquid
44.792	30.000	991.56	0.0010085	187.15	190.18	0.63460	4.0433	4.1733	1541.3	-0.020929	598.66	0.63844	liquid
45.833	30.000	991.12	0.0010090	191.50	194.52	0.64826	4.0385	4.1735	1542.7	-0.020869	587.78	0.63979	liquid
46.875	30.000	990.68	0.0010094	195.84	198.87	0.66186	4.0336	4.1738	1544.1	-0.020810	577.23	0.64111	liquid
47.917	30.000	990.22	0.0010099	200.19	203.22	0.67543	4.0287	4.1741	1545.4	-0.020751	566.98	0.64241	liquid
48.958	30.000	989.76	0.0010103	204.54	207.57	0.68895	4.0238	4.1744	1546.6	-0.020693	557.02	0.64369	liquid
50.000	30.000	989.30	0.0010108	208.88	211.92	0.70243	4.0188	4.1747	1547.8	-0.020634	547.35	0.64494	liquid
51.042	30.000	988.82	0.0010113	213.23	216.27	0.71586	4.0138	4.1750	1548.9	-0.020576	537.96	0.64617	liquid
52.083	30.000	988.34	0.0010118	217.58	220.61	0.72926	4.0088	4.1754	1550.0	-0.020518	528.82	0.64737	liquid
53.125	30.000	987.85	0.0010123	221.93	224.96	0.74261	4.0037	4.1758	1551.0	-0.020460	519.94	0.64855	liquid
54.167	30.000	987.36	0.0010128	226.28	229.31	0.75592	3.9987	4.1762	1551.9	-0.020403	511.31	0.64971	liquid
55.208	30.000	986.85	0.0010133	230.62	233.66	0.76919	3.9936	4.1765	1552.9	-0.020345	502.90	0.65084	liquid
56.250	30.000	986.34	0.0010138	234.97	238.02	0.78242	3.9884	4.1770	1553.7	-0.020288	494.73	0.65196	liquid
57.292	30.000	985.83	0.0010144	239.32	242.37	0.79561	3.9833	4.1774	1554.5	-0.020231	486.77	0.65304	liquid
58.333	30.000	985.31	0.0010149	243.67	246.72	0.80876	3.9781	4.1778	1555.2	-0.020174	479.02	0.65411	liquid
