Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	0.30000	997.02	0.0010030	104.82	104.85	0.36722	4.1378	4.1815	1496.6	-0.022147	890.10	0.60716	liquid
26.042	0.30000	996.74	0.0010033	109.18	109.21	0.38180	4.1337	4.1811	1499.3	-0.022077	869.38	0.60893	liquid
27.083	0.30000	996.46	0.0010036	113.53	113.56	0.39633	4.1295	4.1808	1502.0	-0.022008	849.43	0.61068	liquid
28.125	0.30000	996.17	0.0010038	117.89	117.92	0.41081	4.1252	4.1805	1504.6	-0.021940	830.22	0.61241	liquid
29.167	0.30000	995.87	0.0010042	122.24	122.27	0.42524	4.1209	4.1802	1507.1	-0.021873	811.69	0.61412	liquid
30.208	0.30000	995.55	0.0010045	126.60	126.63	0.43962	4.1166	4.1800	1509.5	-0.021806	793.83	0.61581	liquid
31.250	0.30000	995.23	0.0010048	130.95	130.98	0.45395	4.1122	4.1798	1511.9	-0.021740	776.60	0.61747	liquid
32.292	0.30000	994.90	0.0010051	135.31	135.34	0.46823	4.1078	4.1797	1514.1	-0.021674	759.96	0.61912	liquid
33.333	0.30000	994.56	0.0010055	139.66	139.69	0.48246	4.1033	4.1795	1516.3	-0.021609	743.90	0.62074	liquid
34.375	0.30000	994.22	0.0010058	144.01	144.04	0.49664	4.0987	4.1795	1518.5	-0.021544	728.38	0.62234	liquid
35.417	0.30000	993.86	0.0010062	148.37	148.40	0.51077	4.0942	4.1794	1520.5	-0.021480	713.38	0.62392	liquid
36.458	0.30000	993.49	0.0010066	152.72	152.75	0.52485	4.0896	4.1794	1522.5	-0.021416	698.87	0.62548	liquid
37.500	0.30000	993.12	0.0010069	157.07	157.10	0.53889	4.0849	4.1794	1524.4	-0.021353	684.84	0.62701	liquid
38.542	0.30000	992.73	0.0010073	161.43	161.46	0.55288	4.0802	4.1795	1526.3	-0.021291	671.26	0.62852	liquid
39.583	0.30000	992.34	0.0010077	165.78	165.81	0.56683	4.0755	4.1796	1528.1	-0.021228	658.11	0.63001	liquid
40.625	0.30000	991.94	0.0010081	170.14	170.17	0.58073	4.0707	4.1797	1529.8	-0.021166	645.38	0.63147	liquid
41.667	0.30000	991.54	0.0010085	174.49	174.52	0.59458	4.0659	4.1798	1531.5	-0.021105	633.05	0.63291	liquid
42.708	0.30000	991.12	0.0010090	178.84	178.87	0.60839	4.0611	4.1799	1533.0	-0.021044	621.09	0.63432	liquid
43.750	0.30000	990.70	0.0010094	183.20	183.23	0.62215	4.0562	4.1801	1534.6	-0.020983	609.50	0.63572	liquid
44.792	0.30000	990.27	0.0010098	187.55	187.58	0.63587	4.0513	4.1803	1536.0	-0.020922	598.26	0.63708	liquid
45.833	0.30000	989.83	0.0010103	191.91	191.94	0.64954	4.0464	4.1805	1537.4	-0.020862	587.36	0.63843	liquid
46.875	0.30000	989.38	0.0010107	196.26	196.29	0.66317	4.0414	4.1807	1538.8	-0.020802	576.78	0.63975	liquid
47.917	0.30000	988.93	0.0010112	200.62	200.65	0.67676	4.0364	4.1810	1540.1	-0.020743	566.50	0.64104	liquid
48.958	0.30000	988.47	0.0010117	204.97	205.00	0.69030	4.0314	4.1812	1541.3	-0.020684	556.53	0.64231	liquid
50.000	0.30000	988.00	0.0010121	209.33	209.36	0.70380	4.0264	4.1815	1542.4	-0.020624	546.84	0.64356	liquid
51.042	0.30000	987.53	0.0010126	213.68	213.71	0.71726	4.0213	4.1818	1543.6	-0.020566	537.42	0.64479	liquid
52.083	0.30000	987.05	0.0010131	218.04	218.07	0.73067	4.0162	4.1821	1544.6	-0.020507	528.27	0.64599	liquid
53.125	0.30000	986.56	0.0010136	222.40	222.43	0.74405	4.0111	4.1825	1545.6	-0.020448	519.37	0.64716	liquid
54.167	0.30000	986.06	0.0010141	226.75	226.78	0.75738	4.0059	4.1828	1546.5	-0.020390	510.72	0.64832	liquid
55.208	0.30000	985.56	0.0010147	231.11	231.14	0.77067	4.0007	4.1832	1547.4	-0.020332	502.30	0.64945	liquid
56.250	0.30000	985.05	0.0010152	235.47	235.50	0.78392	3.9955	4.1836	1548.3	-0.020274	494.11	0.65055	liquid
57.292	0.30000	984.54	0.0010157	239.83	239.86	0.79713	3.9903	4.1840	1549.0	-0.020216	486.14	0.65164	liquid
58.333	0.30000	984.01	0.0010162	244.18	244.21	0.81030	3.9851	4.1844	1549.8	-0.020159	478.38	0.65270	liquid
59.375	0.30000	983.49	0.0010168	248.54	248.57	0.82343	3.9798	4.1848	1550.5	-0.020101	470.82	0.65374	liquid
60.417	0.30000	982.95	0.0010173	252.90	252.93	0.83652	3.9745	4.1853	1551.1	-0.020044	463.46	0.65476	liquid
61.458	0.30000	982.41	0.0010179	257.26	257.29	0.84957	3.9692	4.1858	1551.7	-0.019986	456.29	0.65575	liquid
62.500	0.30000	981.86	0.0010185	261.62	261.65	0.86258	3.9639	4.1862	1552.2	-0.019929	449.30	0.65672	liquid
63.542	0.30000	981.31	0.0010191	265.98	266.01	0.87555	3.9586	4.1867	1552.7	-0.019871	442.49	0.65767	liquid
64.583	0.30000	980.75	0.0010196	270.34	270.38	0.88849	3.9532	4.1873	1553.1	-0.019814	435.85	0.65860	liquid
65.625	0.30000	980.18	0.0010202	274.71	274.74	0.90138	3.9479	4.1878	1553.5	-0.019757	429.38	0.65951	liquid
66.667	0.30000	979.61	0.0010208	279.07	279.10	0.91424	3.9425	4.1884	1553.8	-0.019700	423.06	0.66039	liquid
67.708	0.30000	979.03	0.0010214	283.43	283.46	0.92706	3.9371	4.1889	1554.1	-0.019643	416.91	0.66126	liquid
68.750	0.30000	978.44	0.0010220	287.80	287.83	0.93984	3.9317	4.1895	1554.4	-0.019586	410.90	0.66211	liquid
69.095	0.30000	978.25	0.0010222	289.24	289.27	0.94407	3.9299	4.1897	1554.4	-0.019567	408.94	0.66238	liquid
69.095	0.30000	0.19126	5.2284	2467.7	2624.5	7.7675	1.4923	1.9841	455.03	10.463	11.231	0.021986	vapor
69.792	0.30000	0.19086	5.2395	2468.7	2625.9	7.7715	1.4904	1.9817	455.54	10.321	11.255	0.022033	vapor
70.833	0.30000	0.19026	5.2560	2470.3	2628.0	7.7775	1.4879	1.9784	456.29	10.118	11.290	0.022105	vapor
71.875	0.30000	0.18966	5.2725	2471.9	2630.1	7.7835	1.4856	1.9754	457.04	9.9240	11.326	0.022177	vapor
72.917	0.30000	0.18907	5.2890	2473.4	2632.1	7.7894	1.4835	1.9726	457.78	9.7384	11.363	0.022249	vapor
73.958	0.30000	0.18848	5.3055	2475.0	2634.2	7.7954	1.4816	1.9701	458.52	9.5604	11.399	0.022321	vapor
75.000	0.30000	0.18790	5.3220	2476.6	2636.2	7.8013	1.4799	1.9677	459.25	9.3895	11.435	0.022394	vapor
76.042	0.30000	0.18732	5.3385	2478.1	2638.3	7.8071	1.4783	1.9655	459.97	9.2248	11.471	0.022467	vapor
77.083	0.30000	0.18674	5.3549	2479.7	2640.3	7.8130	1.4769	1.9635	460.69	9.0660	11.508	0.022541	vapor
78.125	0.30000	0.18617	5.3714	2481.2	2642.4	7.8188	1.4755	1.9616	461.41	8.9125	11.544	0.022615	vapor
