Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	0.070000	997.01	0.0010030	104.83	104.83	0.36722	4.1379	4.1816	1496.5	-0.022147	890.10	0.60715	liquid
26.042	0.070000	996.73	0.0010033	109.18	109.19	0.38181	4.1337	4.1812	1499.3	-0.022077	869.39	0.60892	liquid
27.083	0.070000	996.45	0.0010036	113.54	113.54	0.39634	4.1295	4.1808	1502.0	-0.022008	849.44	0.61067	liquid
28.125	0.070000	996.16	0.0010039	117.89	117.90	0.41082	4.1253	4.1805	1504.5	-0.021940	830.22	0.61240	liquid
29.167	0.070000	995.86	0.0010042	122.25	122.25	0.42525	4.1210	4.1803	1507.0	-0.021873	811.70	0.61411	liquid
30.208	0.070000	995.54	0.0010045	126.60	126.61	0.43963	4.1167	4.1800	1509.5	-0.021806	793.83	0.61580	liquid
31.250	0.070000	995.22	0.0010048	130.95	130.96	0.45395	4.1123	4.1799	1511.8	-0.021740	776.60	0.61746	liquid
32.292	0.070000	994.89	0.0010051	135.31	135.32	0.46823	4.1078	4.1797	1514.1	-0.021674	759.96	0.61911	liquid
33.333	0.070000	994.55	0.0010055	139.66	139.67	0.48246	4.1033	4.1796	1516.3	-0.021609	743.90	0.62073	liquid
34.375	0.070000	994.20	0.0010058	144.02	144.02	0.49664	4.0988	4.1795	1518.4	-0.021544	728.38	0.62233	liquid
35.417	0.070000	993.85	0.0010062	148.37	148.38	0.51078	4.0942	4.1795	1520.5	-0.021480	713.37	0.62391	liquid
36.458	0.070000	993.48	0.0010066	152.72	152.73	0.52486	4.0896	4.1795	1522.5	-0.021416	698.87	0.62547	liquid
37.500	0.070000	993.11	0.0010069	157.08	157.08	0.53890	4.0850	4.1795	1524.4	-0.021353	684.84	0.62700	liquid
38.542	0.070000	992.72	0.0010073	161.43	161.44	0.55289	4.0803	4.1795	1526.3	-0.021291	671.26	0.62851	liquid
39.000	0.070000	992.55	0.0010075	163.34	163.35	0.55903	4.0782	4.1796	1527.1	-0.021263	665.43	0.62917	liquid
39.000	0.070000	0.048722	20.524	2428.0	2571.7	8.2745	1.4542	1.9300	436.05	19.332	10.277	0.019525	vapor
39.583	0.070000	0.048630	20.564	2428.9	2572.8	8.2781	1.4524	1.9279	436.50	18.948	10.295	0.019562	vapor
40.625	0.070000	0.048465	20.633	2430.4	2574.9	8.2845	1.4497	1.9245	437.29	18.313	10.328	0.019630	vapor
41.667	0.070000	0.048302	20.703	2431.9	2576.9	8.2908	1.4472	1.9216	438.08	17.733	10.360	0.019697	vapor
42.708	0.070000	0.048141	20.773	2433.4	2578.9	8.2972	1.4452	1.9191	438.85	17.201	10.392	0.019765	vapor
43.750	0.070000	0.047980	20.842	2435.0	2580.9	8.3035	1.4434	1.9168	439.61	16.710	10.425	0.019833	vapor
44.792	0.070000	0.047820	20.912	2436.5	2582.9	8.3098	1.4418	1.9149	440.37	16.255	10.458	0.019902	vapor
45.833	0.070000	0.047662	20.981	2438.0	2584.8	8.3161	1.4405	1.9131	441.12	15.832	10.491	0.019971	vapor
46.875	0.070000	0.047504	21.051	2439.5	2586.8	8.3223	1.4393	1.9116	441.87	15.436	10.524	0.020040	vapor
47.917	0.070000	0.047348	21.120	2441.0	2588.8	8.3285	1.4382	1.9103	442.61	15.063	10.557	0.020110	vapor
48.958	0.070000	0.047193	21.190	2442.5	2590.8	8.3347	1.4373	1.9090	443.35	14.712	10.590	0.020180	vapor
50.000	0.070000	0.047039	21.259	2444.0	2592.8	8.3408	1.4365	1.9080	444.08	14.379	10.624	0.020250	vapor
51.042	0.070000	0.046886	21.328	2445.5	2594.8	8.3470	1.4358	1.9070	444.81	14.064	10.657	0.020321	vapor
52.083	0.070000	0.046734	21.398	2447.0	2596.8	8.3531	1.4352	1.9061	445.54	13.763	10.691	0.020392	vapor
53.125	0.070000	0.046583	21.467	2448.5	2598.8	8.3592	1.4347	1.9053	446.26	13.475	10.725	0.020463	vapor
54.167	0.070000	0.046433	21.536	2450.0	2600.7	8.3653	1.4342	1.9046	446.98	13.200	10.759	0.020535	vapor
55.208	0.070000	0.046284	21.606	2451.5	2602.7	8.3713	1.4337	1.9039	447.70	12.935	10.793	0.020607	vapor
56.250	0.070000	0.046136	21.675	2453.0	2604.7	8.3773	1.4334	1.9034	448.42	12.681	10.827	0.020679	vapor
57.292	0.070000	0.045989	21.744	2454.5	2606.7	8.3834	1.4330	1.9028	449.13	12.436	10.861	0.020752	vapor
58.333	0.070000	0.045843	21.814	2456.0	2608.7	8.3893	1.4327	1.9023	449.84	12.200	10.896	0.020825	vapor
59.375	0.070000	0.045698	21.883	2457.5	2610.7	8.3953	1.4325	1.9019	450.55	11.971	10.930	0.020898	vapor
60.417	0.070000	0.045553	21.952	2459.0	2612.6	8.4013	1.4322	1.9015	451.26	11.750	10.965	0.020972	vapor
61.458	0.070000	0.045410	22.021	2460.5	2614.6	8.4072	1.4320	1.9011	451.96	11.535	10.999	0.021046	vapor
62.500	0.070000	0.045268	22.091	2462.0	2616.6	8.4131	1.4319	1.9008	452.67	11.327	11.034	0.021120	vapor
63.542	0.070000	0.045127	22.160	2463.5	2618.6	8.4190	1.4317	1.9005	453.37	11.125	11.069	0.021194	vapor
64.583	0.070000	0.044986	22.229	2465.0	2620.6	8.4249	1.4316	1.9002	454.07	10.929	11.104	0.021269	vapor
65.625	0.070000	0.044846	22.298	2466.4	2622.5	8.4307	1.4315	1.8999	454.77	10.738	11.139	0.021344	vapor
66.667	0.070000	0.044708	22.368	2467.9	2624.5	8.4365	1.4314	1.8997	455.46	10.553	11.174	0.021420	vapor
67.708	0.070000	0.044570	22.437	2469.4	2626.5	8.4424	1.4314	1.8995	456.16	10.372	11.210	0.021495	vapor
68.750	0.070000	0.044433	22.506	2470.9	2628.5	8.4481	1.4313	1.8993	456.85	10.196	11.245	0.021571	vapor
69.792	0.070000	0.044297	22.575	2472.4	2630.5	8.4539	1.4313	1.8992	457.54	10.025	11.281	0.021648	vapor
70.833	0.070000	0.044162	22.644	2473.9	2632.4	8.4597	1.4313	1.8990	458.24	9.8575	11.316	0.021724	vapor
71.875	0.070000	0.044027	22.713	2475.4	2634.4	8.4654	1.4313	1.8989	458.92	9.6944	11.352	0.021801	vapor
72.917	0.070000	0.043894	22.782	2476.9	2636.4	8.4711	1.4313	1.8988	459.61	9.5354	11.388	0.021878	vapor
73.958	0.070000	0.043761	22.852	2478.4	2638.4	8.4769	1.4314	1.8987	460.30	9.3801	11.424	0.021955	vapor
75.000	0.070000	0.043629	22.921	2479.9	2640.3	8.4825	1.4314	1.8987	460.98	9.2286	11.460	0.022033	vapor
76.042	0.070000	0.043498	22.990	2481.4	2642.3	8.4882	1.4315	1.8986	461.67	9.0806	11.496	0.022111	vapor
77.083	0.070000	0.043367	23.059	2482.9	2644.3	8.4939	1.4316	1.8986	462.35	8.9361	11.532	0.022189	vapor
78.125	0.070000	0.043238	23.128	2484.4	2646.3	8.4995	1.4317	1.8986	463.03	8.7950	11.568	0.022268	vapor
79.167	0.070000	0.043109	23.197	2485.9	2648.3	8.5051	1.4318	1.8986	463.71	8.6570	11.604	0.022346	vapor
80.208	0.070000	0.042981	23.266	2487.4	2650.2	8.5107	1.4319	1.8986	464.39	8.5222	11.641	0.022425	vapor
81.250	0.070000	0.042854	23.335	2488.9	2652.2	8.5163	1.4320	1.8986	465.06	8.3904	11.677	0.022505	vapor
82.292	0.070000	0.042727	23.404	2490.4	2654.2	8.5219	1.4321	1.8986	465.74	8.2616	11.714	0.022584	vapor
83.333	0.070000	0.042602	23.473	2491.9	2656.2	8.5275	1.4323	1.8987	466.41	8.1356	11.750	0.022664	vapor
84.375	0.070000	0.042477	23.542	2493.3	2658.1	8.5330	1.4324	1.8988	467.08	8.0124	11.787	0.022744	vapor
85.417	0.070000	0.042353	23.611	2494.8	2660.1	8.5385	1.4326	1.8988	467.75	7.8919	11.824	0.022824	vapor
86.458	0.070000	0.042229	23.680	2496.3	2662.1	8.5440	1.4328	1.8989	468.42	7.7740	11.861	0.022905	vapor
87.500	0.070000	0.042106	23.749	2497.8	2664.1	8.5495	1.4330	1.8990	469.09	7.6586	11.898	0.022986	vapor
