Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	3.0000	997.14	0.0010029	104.80	105.10	0.36715	4.1369	4.1807	1497.0	-0.022146	890.04	0.60728	liquid
26.042	3.0000	996.86	0.0010031	109.16	109.46	0.38173	4.1328	4.1803	1499.8	-0.022077	869.33	0.60905	liquid
27.083	3.0000	996.58	0.0010034	113.51	113.81	0.39626	4.1286	4.1800	1502.4	-0.022008	849.39	0.61080	liquid
28.125	3.0000	996.29	0.0010037	117.87	118.17	0.41073	4.1243	4.1797	1505.0	-0.021940	830.18	0.61253	liquid
29.167	3.0000	995.99	0.0010040	122.22	122.52	0.42516	4.1201	4.1795	1507.5	-0.021872	811.66	0.61424	liquid
30.208	3.0000	995.67	0.0010043	126.57	126.87	0.43954	4.1157	4.1792	1510.0	-0.021806	793.81	0.61593	liquid
31.250	3.0000	995.35	0.0010047	130.93	131.23	0.45386	4.1113	4.1791	1512.3	-0.021739	776.58	0.61759	liquid
32.292	3.0000	995.02	0.0010050	135.28	135.58	0.46814	4.1069	4.1789	1514.6	-0.021674	759.95	0.61924	liquid
33.333	3.0000	994.68	0.0010053	139.63	139.93	0.48237	4.1024	4.1788	1516.8	-0.021609	743.89	0.62086	liquid
34.375	3.0000	994.33	0.0010057	143.98	144.29	0.49654	4.0979	4.1788	1518.9	-0.021544	728.37	0.62247	liquid
35.417	3.0000	993.98	0.0010061	148.34	148.64	0.51067	4.0934	4.1787	1521.0	-0.021480	713.38	0.62404	liquid
36.458	3.0000	993.61	0.0010064	152.69	152.99	0.52476	4.0888	4.1787	1523.0	-0.021416	698.88	0.62560	liquid
37.500	3.0000	993.24	0.0010068	157.04	157.35	0.53879	4.0841	4.1788	1524.9	-0.021353	684.85	0.62713	liquid
38.542	3.0000	992.85	0.0010072	161.40	161.70	0.55278	4.0795	4.1788	1526.8	-0.021291	671.27	0.62864	liquid
39.583	3.0000	992.46	0.0010076	165.75	166.05	0.56672	4.0747	4.1789	1528.6	-0.021229	658.13	0.63013	liquid
40.625	3.0000	992.06	0.0010080	170.10	170.40	0.58062	4.0700	4.1790	1530.3	-0.021167	645.41	0.63159	liquid
41.667	3.0000	991.66	0.0010084	174.45	174.76	0.59447	4.0652	4.1791	1531.9	-0.021105	633.07	0.63303	liquid
42.708	3.0000	991.24	0.0010088	178.81	179.11	0.60828	4.0604	4.1793	1533.5	-0.021044	621.12	0.63445	liquid
43.750	3.0000	990.82	0.0010093	183.16	183.46	0.62204	4.0555	4.1794	1535.0	-0.020983	609.54	0.63584	liquid
44.792	3.0000	990.39	0.0010097	187.51	187.82	0.63575	4.0506	4.1796	1536.5	-0.020923	598.30	0.63721	liquid
45.833	3.0000	989.95	0.0010102	191.87	192.17	0.64942	4.0457	4.1798	1537.9	-0.020863	587.40	0.63855	liquid
46.875	3.0000	989.50	0.0010106	196.22	196.53	0.66305	4.0407	4.1801	1539.3	-0.020803	576.82	0.63987	liquid
47.917	3.0000	989.05	0.0010111	200.58	200.88	0.67664	4.0357	4.1803	1540.5	-0.020744	566.55	0.64117	liquid
48.958	3.0000	988.59	0.0010115	204.93	205.23	0.69018	4.0307	4.1806	1541.8	-0.020684	556.57	0.64244	liquid
50.000	3.0000	988.12	0.0010120	209.29	209.59	0.70368	4.0257	4.1809	1542.9	-0.020625	546.88	0.64369	liquid
51.042	3.0000	987.65	0.0010125	213.64	213.95	0.71713	4.0206	4.1812	1544.0	-0.020567	537.47	0.64491	liquid
52.083	3.0000	987.17	0.0010130	218.00	218.30	0.73054	4.0155	4.1815	1545.1	-0.020508	528.32	0.64611	liquid
53.125	3.0000	986.68	0.0010135	222.35	222.66	0.74392	4.0104	4.1819	1546.1	-0.020450	519.42	0.64729	liquid
54.167	3.0000	986.18	0.0010140	226.71	227.01	0.75725	4.0052	4.1822	1547.0	-0.020391	510.77	0.64844	liquid
55.208	3.0000	985.68	0.0010145	231.07	231.37	0.77054	4.0001	4.1826	1547.9	-0.020333	502.35	0.64957	liquid
56.250	3.0000	985.17	0.0010151	235.42	235.73	0.78378	3.9949	4.1830	1548.8	-0.020275	494.16	0.65068	liquid
57.292	3.0000	984.65	0.0010156	239.78	240.08	0.79699	3.9897	4.1834	1549.5	-0.020218	486.19	0.65177	liquid
58.333	3.0000	984.13	0.0010161	244.14	244.44	0.81016	3.9844	4.1838	1550.3	-0.020160	478.43	0.65283	liquid
59.375	3.0000	983.60	0.0010167	248.50	248.80	0.82329	3.9792	4.1842	1551.0	-0.020103	470.88	0.65387	liquid
60.417	3.0000	983.07	0.0010172	252.85	253.16	0.83637	3.9739	4.1847	1551.6	-0.020045	463.52	0.65488	liquid
61.458	3.0000	982.53	0.0010178	257.21	257.52	0.84942	3.9686	4.1852	1552.2	-0.019988	456.35	0.65588	liquid
62.500	3.0000	981.98	0.0010184	261.57	261.88	0.86243	3.9633	4.1857	1552.7	-0.019930	449.36	0.65685	liquid
63.542	3.0000	981.42	0.0010189	265.93	266.24	0.87540	3.9580	4.1862	1553.2	-0.019873	442.55	0.65780	liquid
64.583	3.0000	980.86	0.0010195	270.29	270.60	0.88833	3.9526	4.1867	1553.6	-0.019816	435.92	0.65873	liquid
65.625	3.0000	980.30	0.0010201	274.65	274.96	0.90123	3.9473	4.1872	1554.0	-0.019759	429.44	0.65964	liquid
66.667	3.0000	979.72	0.0010207	279.02	279.32	0.91408	3.9419	4.1878	1554.3	-0.019702	423.13	0.66053	liquid
67.708	3.0000	979.15	0.0010213	283.38	283.69	0.92690	3.9366	4.1883	1554.6	-0.019645	416.97	0.66139	liquid
68.750	3.0000	978.56	0.0010219	287.74	288.05	0.93968	3.9312	4.1889	1554.9	-0.019588	410.96	0.66224	liquid
69.792	3.0000	977.97	0.0010225	292.11	292.41	0.95243	3.9258	4.1895	1555.1	-0.019531	405.10	0.66306	liquid
70.833	3.0000	977.37	0.0010231	296.47	296.78	0.96513	3.9204	4.1901	1555.3	-0.019474	399.37	0.66387	liquid
71.875	3.0000	976.77	0.0010238	300.83	301.14	0.97781	3.9149	4.1908	1555.4	-0.019416	393.78	0.66465	liquid
72.917	3.0000	976.16	0.0010244	305.20	305.51	0.99044	3.9095	4.1914	1555.4	-0.019359	388.33	0.66542	liquid
73.958	3.0000	975.55	0.0010251	309.57	309.87	1.0030	3.9041	4.1921	1555.5	-0.019302	383.00	0.66616	liquid
75.000	3.0000	974.93	0.0010257	313.93	314.24	1.0156	3.8986	4.1928	1555.5	-0.019245	377.79	0.66689	liquid
76.042	3.0000	974.31	0.0010264	318.30	318.61	1.0281	3.8932	4.1935	1555.4	-0.019187	372.70	0.66760	liquid
77.083	3.0000	973.68	0.0010270	322.67	322.98	1.0406	3.8877	4.1942	1555.3	-0.019130	367.73	0.66828	liquid
78.125	3.0000	973.04	0.0010277	327.04	327.35	1.0531	3.8823	4.1949	1555.2	-0.019072	362.87	0.66896	liquid
79.167	3.0000	972.40	0.0010284	331.41	331.72	1.0655	3.8768	4.1957	1555.0	-0.019014	358.12	0.66961	liquid
80.208	3.0000	971.75	0.0010291	335.78	336.09	1.0779	3.8714	4.1965	1554.8	-0.018957	353.48	0.67024	liquid
81.250	3.0000	971.10	0.0010298	340.15	340.46	1.0902	3.8659	4.1973	1554.5	-0.018899	348.94	0.67086	liquid
82.292	3.0000	970.44	0.0010305	344.52	344.83	1.1026	3.8604	4.1981	1554.2	-0.018841	344.50	0.67146	liquid
83.333	3.0000	969.77	0.0010312	348.90	349.21	1.1148	3.8550	4.1989	1553.9	-0.018782	340.15	0.67204	liquid
84.375	3.0000	969.11	0.0010319	353.27	353.58	1.1271	3.8495	4.1998	1553.5	-0.018724	335.90	0.67260	liquid
85.417	3.0000	968.43	0.0010326	357.65	357.95	1.1393	3.8440	4.2007	1553.1	-0.018665	331.74	0.67315	liquid
86.458	3.0000	967.75	0.0010333	362.02	362.33	1.1515	3.8386	4.2016	1552.7	-0.018607	327.67	0.67368	liquid
87.500	3.0000	967.07	0.0010341	366.40	366.71	1.1637	3.8331	4.2025	1552.2	-0.018548	323.69	0.67420	liquid
88.542	3.0000	966.38	0.0010348	370.78	371.09	1.1758	3.8277	4.2034	1551.7	-0.018489	319.79	0.67470	liquid
89.583	3.0000	965.68	0.0010355	375.15	375.47	1.1879	3.8222	4.2044	1551.1	-0.018429	315.97	0.67518	liquid
90.625	3.0000	964.98	0.0010363	379.53	379.85	1.1999	3.8167	4.2054	1550.5	-0.018370	312.23	0.67565	liquid
91.667	3.0000	964.27	0.0010371	383.92	384.23	1.2120	3.8113	4.2064	1549.9	-0.018310	308.56	0.67610	liquid
92.708	3.0000	963.56	0.0010378	388.30	388.61	1.2240	3.8058	4.2074	1549.2	-0.018250	304.98	0.67654	liquid
