Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	47.000	999.11	0.0010009	104.47	109.17	0.36600	4.1223	4.1682	1504.4	-0.022134	889.05	0.60928	liquid
25.000	48.000	999.16	0.0010008	104.46	109.26	0.36598	4.1219	4.1679	1504.6	-0.022134	889.03	0.60933	liquid
25.000	49.000	999.20	0.0010008	104.45	109.36	0.36595	4.1216	4.1676	1504.7	-0.022133	889.01	0.60937	liquid
25.000	50.000	999.25	0.0010008	104.44	109.45	0.36592	4.1213	4.1674	1504.9	-0.022133	888.99	0.60942	liquid
25.000	51.000	999.29	0.0010007	104.44	109.54	0.36590	4.1210	4.1671	1505.1	-0.022133	888.97	0.60946	liquid
25.000	52.000	999.34	0.0010007	104.43	109.63	0.36587	4.1206	4.1668	1505.2	-0.022133	888.95	0.60951	liquid
25.000	53.000	999.38	0.0010006	104.42	109.72	0.36584	4.1203	4.1665	1505.4	-0.022132	888.93	0.60955	liquid
25.000	54.000	999.42	0.0010006	104.41	109.82	0.36582	4.1200	4.1663	1505.6	-0.022132	888.91	0.60960	liquid
25.000	55.000	999.47	0.0010005	104.41	109.91	0.36579	4.1196	4.1660	1505.7	-0.022132	888.89	0.60964	liquid
25.000	56.000	999.51	0.0010005	104.40	110.00	0.36577	4.1193	4.1657	1505.9	-0.022131	888.86	0.60969	liquid
25.000	57.000	999.56	0.0010004	104.39	110.09	0.36574	4.1190	4.1654	1506.1	-0.022131	888.84	0.60973	liquid
25.000	58.000	999.60	0.0010004	104.38	110.19	0.36571	4.1187	4.1651	1506.2	-0.022131	888.82	0.60978	liquid
25.000	59.000	999.65	0.0010004	104.38	110.28	0.36569	4.1183	4.1649	1506.4	-0.022130	888.80	0.60982	liquid
25.000	60.000	999.69	0.0010003	104.37	110.37	0.36566	4.1180	4.1646	1506.6	-0.022130	888.78	0.60987	liquid
25.000	61.000	999.74	0.0010003	104.36	110.46	0.36563	4.1177	4.1643	1506.7	-0.022130	888.76	0.60992	liquid
25.000	62.000	999.78	0.0010002	104.35	110.55	0.36561	4.1174	4.1640	1506.9	-0.022130	888.74	0.60996	liquid
25.000	63.000	999.83	0.0010002	104.34	110.65	0.36558	4.1170	4.1638	1507.1	-0.022129	888.72	0.61001	liquid
25.000	64.000	999.87	0.0010001	104.34	110.74	0.36555	4.1167	4.1635	1507.2	-0.022129	888.70	0.61005	liquid
25.000	65.000	999.91	0.0010001	104.33	110.83	0.36553	4.1164	4.1632	1507.4	-0.022129	888.68	0.61010	liquid
25.000	66.000	999.96	0.0010000	104.32	110.92	0.36550	4.1161	4.1629	1507.6	-0.022128	888.66	0.61014	liquid
25.000	67.000	1000.0	0.0010000	104.31	111.01	0.36548	4.1157	4.1626	1507.8	-0.022128	888.64	0.61019	liquid
25.000	68.000	1000.0	0.00099995	104.31	111.11	0.36545	4.1154	4.1624	1507.9	-0.022128	888.62	0.61023	liquid
25.000	69.000	1000.1	0.00099991	104.30	111.20	0.36542	4.1151	4.1621	1508.1	-0.022127	888.60	0.61028	liquid
25.000	70.000	1000.1	0.00099986	104.29	111.29	0.36540	4.1148	4.1618	1508.3	-0.022127	888.58	0.61032	liquid
25.000	71.000	1000.2	0.00099982	104.28	111.38	0.36537	4.1144	4.1615	1508.4	-0.022127	888.56	0.61037	liquid
25.000	72.000	1000.2	0.00099977	104.28	111.47	0.36534	4.1141	4.1613	1508.6	-0.022127	888.54	0.61042	liquid
25.000	73.000	1000.3	0.00099973	104.27	111.57	0.36532	4.1138	4.1610	1508.8	-0.022126	888.52	0.61046	liquid
25.000	74.000	1000.3	0.00099969	104.26	111.66	0.36529	4.1135	4.1607	1508.9	-0.022126	888.50	0.61051	liquid
25.000	75.000	1000.4	0.00099964	104.25	111.75	0.36526	4.1131	4.1604	1509.1	-0.022126	888.48	0.61055	liquid
25.000	76.000	1000.4	0.00099960	104.25	111.84	0.36524	4.1128	4.1602	1509.3	-0.022125	888.46	0.61060	liquid
25.000	77.000	1000.4	0.00099955	104.24	111.94	0.36521	4.1125	4.1599	1509.4	-0.022125	888.44	0.61064	liquid
25.000	78.000	1000.5	0.00099951	104.23	112.03	0.36518	4.1122	4.1596	1509.6	-0.022125	888.42	0.61069	liquid
25.000	79.000	1000.5	0.00099946	104.22	112.12	0.36516	4.1119	4.1593	1509.8	-0.022124	888.40	0.61073	liquid
25.000	80.000	1000.6	0.00099942	104.22	112.21	0.36513	4.1115	4.1591	1509.9	-0.022124	888.38	0.61078	liquid
25.000	81.000	1000.6	0.00099937	104.21	112.30	0.36510	4.1112	4.1588	1510.1	-0.022124	888.36	0.61083	liquid
25.000	82.000	1000.7	0.00099933	104.20	112.40	0.36508	4.1109	4.1585	1510.3	-0.022124	888.34	0.61087	liquid
25.000	83.000	1000.7	0.00099929	104.19	112.49	0.36505	4.1106	4.1583	1510.4	-0.022123	888.32	0.61092	liquid
25.000	84.000	1000.8	0.00099924	104.19	112.58	0.36502	4.1102	4.1580	1510.6	-0.022123	888.30	0.61096	liquid
25.000	85.000	1000.8	0.00099920	104.18	112.67	0.36500	4.1099	4.1577	1510.8	-0.022123	888.29	0.61101	liquid
25.000	86.000	1000.8	0.00099915	104.17	112.76	0.36497	4.1096	4.1574	1510.9	-0.022122	888.27	0.61105	liquid
25.000	87.000	1000.9	0.00099911	104.16	112.86	0.36494	4.1093	4.1572	1511.1	-0.022122	888.25	0.61110	liquid
25.000	88.000	1000.9	0.00099906	104.16	112.95	0.36492	4.1090	4.1569	1511.3	-0.022122	888.23	0.61114	liquid
25.000	89.000	1001.0	0.00099902	104.15	113.04	0.36489	4.1086	4.1566	1511.4	-0.022121	888.21	0.61119	liquid
25.000	90.000	1001.0	0.00099898	104.14	113.13	0.36486	4.1083	4.1563	1511.6	-0.022121	888.19	0.61123	liquid
25.000	91.000	1001.1	0.00099893	104.13	113.22	0.36484	4.1080	4.1561	1511.8	-0.022121	888.17	0.61128	liquid
25.000	92.000	1001.1	0.00099889	104.13	113.31	0.36481	4.1077	4.1558	1511.9	-0.022120	888.15	0.61133	liquid
25.000	93.000	1001.2	0.00099884	104.12	113.41	0.36478	4.1074	4.1555	1512.1	-0.022120	888.13	0.61137	liquid
25.000	94.000	1001.2	0.00099880	104.11	113.50	0.36476	4.1070	4.1553	1512.3	-0.022120	888.11	0.61142	liquid
25.000	95.000	1001.2	0.00099876	104.10	113.59	0.36473	4.1067	4.1550	1512.4	-0.022120	888.10	0.61146	liquid
25.000	96.000	1001.3	0.00099871	104.09	113.68	0.36470	4.1064	4.1547	1512.6	-0.022119	888.08	0.61151	liquid
25.000	97.000	1001.3	0.00099867	104.09	113.77	0.36468	4.1061	4.1545	1512.8	-0.022119	888.06	0.61155	liquid
25.000	98.000	1001.4	0.00099862	104.08	113.87	0.36465	4.1058	4.1542	1512.9	-0.022119	888.04	0.61160	liquid
25.000	99.000	1001.4	0.00099858	104.07	113.96	0.36462	4.1054	4.1539	1513.1	-0.022118	888.02	0.61164	liquid
25.000	100.00	1001.5	0.00099854	104.06	114.05	0.36460	4.1051	4.1536	1513.3	-0.022118	888.00	0.61169	liquid
25.000	101.00	1001.5	0.00099849	104.06	114.14	0.36457	4.1048	4.1534	1513.4	-0.022118	887.98	0.61174	liquid
25.000	102.00	1001.6	0.00099845	104.05	114.23	0.36454	4.1045	4.1531	1513.6	-0.022117	887.97	0.61178	liquid
25.000	103.00	1001.6	0.00099840	104.04	114.33	0.36452	4.1042	4.1528	1513.8	-0.022117	887.95	0.61183	liquid
25.000	104.00	1001.6	0.00099836	104.03	114.42	0.36449	4.1038	4.1526	1513.9	-0.022117	887.93	0.61187	liquid
25.000	105.00	1001.7	0.00099832	104.03	114.51	0.36446	4.1035	4.1523	1514.1	-0.022116	887.91	0.61192	liquid
25.000	106.00	1001.7	0.00099827	104.02	114.60	0.36444	4.1032	4.1520	1514.3	-0.022116	887.89	0.61196	liquid
25.000	107.00	1001.8	0.00099823	104.01	114.69	0.36441	4.1029	4.1518	1514.4	-0.022116	887.88	0.61201	liquid
25.000	108.00	1001.8	0.00099818	104.00	114.78	0.36438	4.1026	4.1515	1514.6	-0.022115	887.86	0.61205	liquid
25.000	109.00	1001.9	0.00099814	104.00	114.88	0.36436	4.1023	4.1512	1514.8	-0.022115	887.84	0.61210	liquid
25.000	110.00	1001.9	0.00099810	103.99	114.97	0.36433	4.1019	4.1510	1514.9	-0.022115	887.82	0.61215	liquid
25.000	111.00	1002.0	0.00099805	103.98	115.06	0.36430	4.1016	4.1507	1515.1	-0.022114	887.80	0.61219	liquid
25.000	112.00	1002.0	0.00099801	103.97	115.15	0.36427	4.1013	4.1504	1515.3	-0.022114	887.79	0.61224	liquid
25.000	113.00	1002.0	0.00099796	103.97	115.24	0.36425	4.1010	4.1502	1515.4	-0.022114	887.77	0.61228	liquid
25.000	114.00	1002.1	0.00099792	103.96	115.34	0.36422	4.1007	4.1499	1515.6	-0.022113	887.75	0.61233	liquid
25.000	115.00	1002.1	0.00099788	103.95	115.43	0.36419	4.1004	4.1496	1515.8	-0.022113	887.73	0.61237	liquid
25.000	116.00	1002.2	0.00099783	103.94	115.52	0.36417	4.1000	4.1494	1515.9	-0.022113	887.71	0.61242	liquid
25.000	117.00	1002.2	0.00099779	103.94	115.61	0.36414	4.0997	4.1491	1516.1	-0.022112	887.70	0.61246	liquid
25.000	118.00	1002.3	0.00099774	103.93	115.70	0.36411	4.0994	4.1488	1516.3	-0.022112	887.68	0.61251	liquid
25.000	119.00	1002.3	0.00099770	103.92	115.79	0.36409	4.0991	4.1486	1516.4	-0.022112	887.66	0.61256	liquid
25.000	120.00	1002.3	0.00099766	103.91	115.89	0.36406	4.0988	4.1483	1516.6	-0.022111	887.64	0.61260	liquid
25.000	121.00	1002.4	0.00099761	103.91	115.98	0.36403	4.0985	4.1480	1516.8	-0.022111	887.63	0.61265	liquid
25.000	122.00	1002.4	0.00099757	103.90	116.07	0.36401	4.0981	4.1478	1516.9	-0.022111	887.61	0.61269	liquid
25.000	123.00	1002.5	0.00099753	103.89	116.16	0.36398	4.0978	4.1475	1517.1	-0.022111	887.59	0.61274	liquid
25.000	124.00	1002.5	0.00099748	103.88	116.25	0.36395	4.0975	4.1472	1517.3	-0.022110	887.58	0.61278	liquid
25.000	125.00	1002.6	0.00099744	103.88	116.34	0.36392	4.0972	4.1470	1517.4	-0.022110	887.56	0.61283	liquid
25.000	126.00	1002.6	0.00099739	103.87	116.44	0.36390	4.0969	4.1467	1517.6	-0.022110	887.54	0.61287	liquid
25.000	127.00	1002.7	0.00099735	103.86	116.53	0.36387	4.0966	4.1464	1517.8	-0.022109	887.52	0.61292	liquid
25.000	128.00	1002.7	0.00099731	103.85	116.62	0.36384	4.0963	4.1462	1518.0	-0.022109	887.51	0.61297	liquid
25.000	129.00	1002.7	0.00099726	103.85	116.71	0.36382	4.0959	4.1459	1518.1	-0.022109	887.49	0.61301	liquid
25.000	130.00	1002.8	0.00099722	103.84	116.80	0.36379	4.0956	4.1456	1518.3	-0.022108	887.47	0.61306	liquid
25.000	131.00	1002.8	0.00099718	103.83	116.89	0.36376	4.0953	4.1454	1518.5	-0.022108	887.46	0.61310	liquid
25.000	132.00	1002.9	0.00099713	103.82	116.99	0.36374	4.0950	4.1451	1518.6	-0.022108	887.44	0.61315	liquid
25.000	133.00	1002.9	0.00099709	103.82	117.08	0.36371	4.0947	4.1449	1518.8	-0.022107	887.42	0.61319	liquid
25.000	134.00	1003.0	0.00099704	103.81	117.17	0.36368	4.0944	4.1446	1519.0	-0.022107	887.41	0.61324	liquid
25.000	135.00	1003.0	0.00099700	103.80	117.26	0.36365	4.0941	4.1443	1519.1	-0.022107	887.39	0.61328	liquid
25.000	136.00	1003.1	0.00099696	103.79	117.35	0.36363	4.0938	4.1441	1519.3	-0.022106	887.37	0.61333	liquid
25.000	137.00	1003.1	0.00099691	103.79	117.44	0.36360	4.0934	4.1438	1519.5	-0.022106	887.36	0.61338	liquid
25.000	138.00	1003.1	0.00099687	103.78	117.54	0.36357	4.0931	4.1435	1519.6	-0.022106	887.34	0.61342	liquid
