Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
102.35	1.0000	0.59357	1.6847	2509.8	2680.5	7.3676	1.5484	2.0695	473.87	11.748	1.2357e-05	0.025253	vapor
102.49	1.0000	0.59333	1.6854	2510.0	2680.8	7.3684	1.5480	2.0689	473.98	11.724	1.2362e-05	0.025262	vapor
102.63	1.0000	0.59309	1.6861	2510.2	2681.0	7.3692	1.5476	2.0683	474.07	11.700	1.2367e-05	0.025272	vapor
102.77	1.0000	0.59285	1.6868	2510.4	2681.3	7.3699	1.5472	2.0678	474.17	11.676	1.2373e-05	0.025282	vapor
102.92	1.0000	0.59261	1.6875	2510.6	2681.6	7.3707	1.5468	2.0672	474.27	11.652	1.2378e-05	0.025291	vapor
103.06	1.0000	0.59236	1.6881	2510.9	2681.9	7.3715	1.5464	2.0666	474.37	11.628	1.2383e-05	0.025301	vapor
103.20	1.0000	0.59212	1.6888	2511.1	2682.2	7.3723	1.5461	2.0661	474.47	11.605	1.2388e-05	0.025310	vapor
103.34	1.0000	0.59188	1.6895	2511.3	2682.5	7.3730	1.5457	2.0655	474.57	11.581	1.2394e-05	0.025320	vapor
103.48	1.0000	0.59164	1.6902	2511.5	2682.8	7.3738	1.5453	2.0650	474.67	11.558	1.2399e-05	0.025330	vapor
103.62	1.0000	0.59140	1.6909	2511.8	2683.1	7.3746	1.5449	2.0644	474.77	11.535	1.2404e-05	0.025339	vapor
103.77	1.0000	0.59117	1.6916	2512.0	2683.4	7.3754	1.5446	2.0639	474.87	11.512	1.2410e-05	0.025349	vapor
103.91	1.0000	0.59093	1.6923	2512.2	2683.7	7.3762	1.5442	2.0634	474.97	11.489	1.2415e-05	0.025359	vapor
104.05	1.0000	0.59069	1.6929	2512.4	2684.0	7.3769	1.5438	2.0628	475.07	11.466	1.2420e-05	0.025368	vapor
104.19	1.0000	0.59045	1.6936	2512.7	2684.3	7.3777	1.5435	2.0623	475.17	11.443	1.2426e-05	0.025378	vapor
104.33	1.0000	0.59021	1.6943	2512.9	2684.6	7.3785	1.5431	2.0618	475.27	11.420	1.2431e-05	0.025388	vapor
104.47	1.0000	0.58997	1.6950	2513.1	2684.8	7.3792	1.5428	2.0613	475.37	11.397	1.2436e-05	0.025397	vapor
104.62	1.0000	0.58973	1.6957	2513.3	2685.1	7.3800	1.5424	2.0608	475.47	11.375	1.2441e-05	0.025407	vapor
104.76	1.0000	0.58950	1.6964	2513.5	2685.4	7.3808	1.5421	2.0603	475.56	11.352	1.2447e-05	0.025417	vapor
104.90	1.0000	0.58926	1.6970	2513.8	2685.7	7.3816	1.5417	2.0598	475.66	11.330	1.2452e-05	0.025427	vapor
105.04	1.0000	0.58902	1.6977	2514.0	2686.0	7.3823	1.5414	2.0593	475.76	11.308	1.2457e-05	0.025436	vapor
105.18	1.0000	0.58878	1.6984	2514.2	2686.3	7.3831	1.5410	2.0588	475.86	11.285	1.2463e-05	0.025446	vapor
105.32	1.0000	0.58855	1.6991	2514.4	2686.6	7.3839	1.5407	2.0583	475.96	11.263	1.2468e-05	0.025456	vapor
105.47	1.0000	0.58831	1.6998	2514.7	2686.9	7.3847	1.5403	2.0578	476.06	11.241	1.2473e-05	0.025465	vapor
105.61	1.0000	0.58807	1.7005	2514.9	2687.2	7.3854	1.5400	2.0573	476.15	11.219	1.2479e-05	0.025475	vapor
105.75	1.0000	0.58784	1.7011	2515.1	2687.5	7.3862	1.5397	2.0568	476.25	11.198	1.2484e-05	0.025485	vapor
105.89	1.0000	0.58760	1.7018	2515.3	2687.8	7.3870	1.5394	2.0563	476.35	11.176	1.2489e-05	0.025495	vapor
106.03	1.0000	0.58737	1.7025	2515.5	2688.1	7.3877	1.5390	2.0558	476.45	11.154	1.2494e-05	0.025505	vapor
106.17	1.0000	0.58713	1.7032	2515.8	2688.3	7.3885	1.5387	2.0554	476.55	11.133	1.2500e-05	0.025514	vapor
106.32	1.0000	0.58690	1.7039	2516.0	2688.6	7.3893	1.5384	2.0549	476.64	11.111	1.2505e-05	0.025524	vapor
106.46	1.0000	0.58666	1.7046	2516.2	2688.9	7.3900	1.5381	2.0544	476.74	11.090	1.2510e-05	0.025534	vapor
106.60	1.0000	0.58643	1.7052	2516.4	2689.2	7.3908	1.5378	2.0540	476.84	11.068	1.2516e-05	0.025544	vapor
106.74	1.0000	0.58619	1.7059	2516.7	2689.5	7.3916	1.5375	2.0535	476.94	11.047	1.2521e-05	0.025554	vapor
106.88	1.0000	0.58596	1.7066	2516.9	2689.8	7.3923	1.5371	2.0531	477.03	11.026	1.2526e-05	0.025563	vapor
107.02	1.0000	0.58572	1.7073	2517.1	2690.1	7.3931	1.5368	2.0526	477.13	11.005	1.2532e-05	0.025573	vapor
107.17	1.0000	0.58549	1.7080	2517.3	2690.4	7.3939	1.5365	2.0522	477.23	10.984	1.2537e-05	0.025583	vapor
107.31	1.0000	0.58525	1.7087	2517.5	2690.7	7.3946	1.5362	2.0517	477.33	10.963	1.2542e-05	0.025593	vapor
107.45	1.0000	0.58502	1.7093	2517.8	2691.0	7.3954	1.5359	2.0513	477.42	10.942	1.2548e-05	0.025603	vapor
107.59	1.0000	0.58479	1.7100	2518.0	2691.3	7.3961	1.5356	2.0508	477.52	10.921	1.2553e-05	0.025613	vapor
107.73	1.0000	0.58455	1.7107	2518.2	2691.5	7.3969	1.5353	2.0504	477.62	10.900	1.2558e-05	0.025622	vapor
107.87	1.0000	0.58432	1.7114	2518.4	2691.8	7.3977	1.5351	2.0499	477.72	10.880	1.2563e-05	0.025632	vapor
108.02	1.0000	0.58409	1.7121	2518.7	2692.1	7.3984	1.5348	2.0495	477.81	10.859	1.2569e-05	0.025642	vapor
108.16	1.0000	0.58386	1.7128	2518.9	2692.4	7.3992	1.5345	2.0491	477.91	10.839	1.2574e-05	0.025652	vapor
108.30	1.0000	0.58362	1.7134	2519.1	2692.7	7.4000	1.5342	2.0487	478.01	10.818	1.2579e-05	0.025662	vapor
108.44	1.0000	0.58339	1.7141	2519.3	2693.0	7.4007	1.5339	2.0482	478.10	10.798	1.2585e-05	0.025672	vapor
108.58	1.0000	0.58316	1.7148	2519.5	2693.3	7.4015	1.5336	2.0478	478.20	10.778	1.2590e-05	0.025682	vapor
108.72	1.0000	0.58293	1.7155	2519.8	2693.6	7.4022	1.5333	2.0474	478.30	10.758	1.2595e-05	0.025692	vapor
108.87	1.0000	0.58270	1.7162	2520.0	2693.9	7.4030	1.5331	2.0470	478.39	10.737	1.2601e-05	0.025702	vapor
109.01	1.0000	0.58247	1.7168	2520.2	2694.2	7.4038	1.5328	2.0466	478.49	10.717	1.2606e-05	0.025712	vapor
109.15	1.0000	0.58224	1.7175	2520.4	2694.4	7.4045	1.5325	2.0461	478.59	10.697	1.2611e-05	0.025722	vapor
109.29	1.0000	0.58200	1.7182	2520.6	2694.7	7.4053	1.5322	2.0457	478.68	10.678	1.2617e-05	0.025732	vapor
109.43	1.0000	0.58177	1.7189	2520.9	2695.0	7.4060	1.5320	2.0453	478.78	10.658	1.2622e-05	0.025742	vapor
109.57	1.0000	0.58154	1.7196	2521.1	2695.3	7.4068	1.5317	2.0449	478.88	10.638	1.2627e-05	0.025751	vapor
109.72	1.0000	0.58131	1.7202	2521.3	2695.6	7.4075	1.5314	2.0445	478.97	10.618	1.2633e-05	0.025761	vapor
109.86	1.0000	0.58108	1.7209	2521.5	2695.9	7.4083	1.5312	2.0441	479.07	10.599	1.2638e-05	0.025771	vapor
110.00	1.0000	0.58085	1.7216	2521.7	2696.2	7.4091	1.5309	2.0437	479.16	10.579	1.2643e-05	0.025781	vapor
