Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
72.917	1.0000	976.08	0.0010245	305.24	305.35	0.99056	3.9099	4.1919	1555.1	-0.019357	388.28	0.66532	liquid
73.958	1.0000	975.46	0.0010252	309.61	309.71	1.0032	3.9045	4.1925	1555.1	-0.019300	382.95	0.66606	liquid
75.000	1.0000	974.84	0.0010258	313.98	314.08	1.0157	3.8990	4.1932	1555.1	-0.019243	377.74	0.66679	liquid
76.042	1.0000	974.22	0.0010265	318.35	318.45	1.0283	3.8936	4.1939	1555.0	-0.019185	372.65	0.66750	liquid
77.083	1.0000	973.59	0.0010271	322.71	322.82	1.0407	3.8881	4.1946	1554.9	-0.019128	367.68	0.66818	liquid
78.125	1.0000	972.95	0.0010278	327.08	327.19	1.0532	3.8827	4.1954	1554.8	-0.019070	362.82	0.66885	liquid
79.167	1.0000	972.31	0.0010285	331.45	331.56	1.0656	3.8772	4.1961	1554.6	-0.019012	358.07	0.66951	liquid
80.208	1.0000	971.66	0.0010292	335.83	335.93	1.0780	3.8718	4.1969	1554.4	-0.018954	353.43	0.67014	liquid
81.250	1.0000	971.01	0.0010299	340.20	340.30	1.0904	3.8663	4.1977	1554.1	-0.018896	348.89	0.67076	liquid
82.292	1.0000	970.35	0.0010306	344.57	344.67	1.1027	3.8608	4.1985	1553.8	-0.018838	344.44	0.67135	liquid
83.333	1.0000	969.68	0.0010313	348.94	349.05	1.1150	3.8553	4.1994	1553.5	-0.018780	340.10	0.67194	liquid
84.375	1.0000	969.01	0.0010320	353.32	353.42	1.1272	3.8499	4.2002	1553.1	-0.018721	335.85	0.67250	liquid
85.417	1.0000	968.34	0.0010327	357.69	357.80	1.1395	3.8444	4.2011	1552.7	-0.018663	331.69	0.67305	liquid
86.458	1.0000	967.66	0.0010334	362.07	362.17	1.1516	3.8389	4.2020	1552.3	-0.018604	327.62	0.67358	liquid
87.500	1.0000	966.98	0.0010342	366.45	366.55	1.1638	3.8335	4.2029	1551.8	-0.018545	323.63	0.67410	liquid
88.542	1.0000	966.28	0.0010349	370.83	370.93	1.1759	3.8280	4.2039	1551.2	-0.018486	319.73	0.67459	liquid
89.583	1.0000	965.59	0.0010356	375.21	375.31	1.1880	3.8225	4.2048	1550.7	-0.018426	315.91	0.67508	liquid
90.625	1.0000	964.89	0.0010364	379.59	379.69	1.2001	3.8171	4.2058	1550.1	-0.018367	312.17	0.67555	liquid
91.667	1.0000	964.18	0.0010371	383.97	384.07	1.2121	3.8116	4.2068	1549.5	-0.018307	308.51	0.67600	liquid
92.708	1.0000	963.47	0.0010379	388.35	388.46	1.2241	3.8062	4.2078	1548.8	-0.018247	304.92	0.67644	liquid
93.750	1.0000	962.75	0.0010387	392.73	392.84	1.2361	3.8007	4.2089	1548.1	-0.018187	301.41	0.67686	liquid
94.792	1.0000	962.03	0.0010395	397.12	397.22	1.2480	3.7953	4.2100	1547.3	-0.018126	297.96	0.67727	liquid
95.833	1.0000	961.31	0.0010403	401.51	401.61	1.2599	3.7898	4.2111	1546.6	-0.018065	294.59	0.67766	liquid
96.875	1.0000	960.57	0.0010410	405.89	406.00	1.2718	3.7844	4.2122	1545.8	-0.018004	291.28	0.67804	liquid
97.917	1.0000	959.84	0.0010418	410.28	410.38	1.2836	3.7790	4.2133	1544.9	-0.017943	288.04	0.67840	liquid
98.958	1.0000	959.10	0.0010426	414.67	414.77	1.2954	3.7736	4.2145	1544.1	-0.017881	284.86	0.67875	liquid
99.606	1.0000	958.63	0.0010432	417.40	417.50	1.3028	3.7702	4.2152	1543.5	-0.017843	282.91	0.67897	liquid
99.606	1.0000	0.59034	1.6939	2505.6	2674.9	7.3588	1.5548	2.0784	471.99	6.7038	12.256	0.025053	vapor
100.00	1.0000	0.58967	1.6959	2506.2	2675.8	7.3610	1.5535	2.0766	472.28	6.6638	12.270	0.025079	vapor
101.04	1.0000	0.58790	1.7010	2507.8	2677.9	7.3668	1.5502	2.0720	473.02	6.5607	12.309	0.025149	vapor
102.08	1.0000	0.58613	1.7061	2509.5	2680.1	7.3726	1.5472	2.0676	473.76	6.4612	12.348	0.025219	vapor
103.13	1.0000	0.58439	1.7112	2511.1	2682.2	7.3783	1.5444	2.0636	474.49	6.3651	12.387	0.025290	vapor
104.17	1.0000	0.58265	1.7163	2512.8	2684.4	7.3840	1.5417	2.0597	475.22	6.2721	12.426	0.025361	vapor
105.21	1.0000	0.58093	1.7214	2514.4	2686.5	7.3897	1.5392	2.0561	475.94	6.1819	12.465	0.025432	vapor
106.25	1.0000	0.57922	1.7265	2516.0	2688.7	7.3953	1.5369	2.0526	476.66	6.0943	12.504	0.025504	vapor
107.29	1.0000	0.57752	1.7316	2517.6	2690.8	7.4010	1.5347	2.0493	477.38	6.0091	12.543	0.025577	vapor
108.33	1.0000	0.57583	1.7366	2519.3	2692.9	7.4065	1.5326	2.0462	478.09	5.9262	12.582	0.025650	vapor
109.38	1.0000	0.57415	1.7417	2520.9	2695.1	7.4121	1.5306	2.0432	478.80	5.8455	12.621	0.025723	vapor
110.42	1.0000	0.57249	1.7468	2522.5	2697.2	7.4177	1.5287	2.0404	479.51	5.7667	12.660	0.025797	vapor
111.46	1.0000	0.57083	1.7518	2524.1	2699.3	7.4232	1.5269	2.0376	480.21	5.6898	12.699	0.025871	vapor
112.50	1.0000	0.56919	1.7569	2525.7	2701.4	7.4287	1.5252	2.0350	480.91	5.6147	12.739	0.025945	vapor
113.54	1.0000	0.56756	1.7619	2527.4	2703.6	7.4342	1.5236	2.0325	481.61	5.5413	12.778	0.026020	vapor
114.58	1.0000	0.56594	1.7670	2529.0	2705.7	7.4397	1.5220	2.0301	482.30	5.4695	12.817	0.026095	vapor
115.63	1.0000	0.56433	1.7720	2530.6	2707.8	7.4451	1.5205	2.0278	482.99	5.3993	12.857	0.026171	vapor
116.67	1.0000	0.56273	1.7771	2532.2	2709.9	7.4505	1.5191	2.0256	483.68	5.3305	12.896	0.026247	vapor
117.71	1.0000	0.56114	1.7821	2533.8	2712.0	7.4559	1.5178	2.0235	484.37	5.2631	12.936	0.026323	vapor
118.75	1.0000	0.55956	1.7871	2535.4	2714.1	7.4613	1.5165	2.0214	485.05	5.1971	12.975	0.026400	vapor
119.79	1.0000	0.55799	1.7922	2537.0	2716.2	7.4667	1.5153	2.0194	485.74	5.1324	13.015	0.026477	vapor
120.83	1.0000	0.55643	1.7972	2538.6	2718.3	7.4720	1.5141	2.0175	486.42	5.0690	13.055	0.026554	vapor
121.88	1.0000	0.55488	1.8022	2540.2	2720.4	7.4773	1.5129	2.0157	487.10	5.0068	13.094	0.026632	vapor
122.92	1.0000	0.55334	1.8072	2541.8	2722.5	7.4827	1.5119	2.0139	487.77	4.9458	13.134	0.026710	vapor
123.96	1.0000	0.55181	1.8122	2543.4	2724.6	7.4879	1.5108	2.0122	488.45	4.8859	13.174	0.026789	vapor
125.00	1.0000	0.55028	1.8172	2545.0	2726.7	7.4932	1.5098	2.0105	489.12	4.8271	13.214	0.026868	vapor
126.04	1.0000	0.54877	1.8222	2546.6	2728.8	7.4985	1.5089	2.0090	489.79	4.7695	13.254	0.026947	vapor
127.08	1.0000	0.54727	1.8273	2548.2	2730.9	7.5037	1.5080	2.0074	490.46	4.7128	13.294	0.027026	vapor
128.13	1.0000	0.54578	1.8323	2549.8	2733.0	7.5089	1.5071	2.0059	491.12	4.6572	13.334	0.027106	vapor
129.17	1.0000	0.54429	1.8373	2551.3	2735.1	7.5141	1.5063	2.0045	491.79	4.6026	13.374	0.027186	vapor
130.21	1.0000	0.54282	1.8422	2552.9	2737.2	7.5193	1.5055	2.0031	492.45	4.5489	13.414	0.027267	vapor
131.25	1.0000	0.54135	1.8472	2554.5	2739.2	7.5245	1.5047	2.0018	493.11	4.4962	13.454	0.027348	vapor
132.29	1.0000	0.53989	1.8522	2556.1	2741.3	7.5296	1.5040	2.0005	493.77	4.4445	13.494	0.027429	vapor
133.33	1.0000	0.53844	1.8572	2557.7	2743.4	7.5347	1.5033	1.9993	494.43	4.3936	13.534	0.027510	vapor
134.38	1.0000	0.53700	1.8622	2559.3	2745.5	7.5399	1.5026	1.9981	495.08	4.3436	13.575	0.027592	vapor
135.42	1.0000	0.53557	1.8672	2560.9	2747.6	7.5450	1.5020	1.9969	495.74	4.2944	13.615	0.027674	vapor
136.46	1.0000	0.53414	1.8722	2562.4	2749.7	7.5500	1.5014	1.9958	496.39	4.2461	13.655	0.027757	vapor
137.50	1.0000	0.53273	1.8771	2564.0	2751.7	7.5551	1.5008	1.9948	497.04	4.1986	13.696	0.027840	vapor
138.54	1.0000	0.53132	1.8821	2565.6	2753.8	7.5602	1.5003	1.9937	497.69	4.1519	13.736	0.027923	vapor
139.58	1.0000	0.52992	1.8871	2567.2	2755.9	7.5652	1.4998	1.9927	498.34	4.1060	13.776	0.028006	vapor
140.63	1.0000	0.52853	1.8920	2568.8	2758.0	7.5702	1.4993	1.9918	498.98	4.0608	13.817	0.028090	vapor
141.67	1.0000	0.52715	1.8970	2570.3	2760.0	7.5752	1.4988	1.9908	499.63	4.0164	13.857	0.028174	vapor
142.71	1.0000	0.52577	1.9020	2571.9	2762.1	7.5802	1.4984	1.9900	500.27	3.9727	13.898	0.028258	vapor
143.75	1.0000	0.52440	1.9069	2573.5	2764.2	7.5852	1.4979	1.9891	500.91	3.9297	13.939	0.028342	vapor
144.79	1.0000	0.52304	1.9119	2575.1	2766.3	7.5902	1.4976	1.9883	501.55	3.8875	13.979	0.028427	vapor
145.83	1.0000	0.52169	1.9168	2576.6	2768.3	7.5951	1.4972	1.9875	502.19	3.8459	14.020	0.028512	vapor
146.88	1.0000	0.52035	1.9218	2578.2	2770.4	7.6000	1.4968	1.9867	502.83	3.8050	14.061	0.028598	vapor
147.92	1.0000	0.51901	1.9268	2579.8	2772.5	7.6050	1.4965	1.9860	503.46	3.7647	14.101	0.028684	vapor
148.96	1.0000	0.51768	1.9317	2581.4	2774.5	7.6099	1.4962	1.9853	504.10	3.7251	14.142	0.028769	vapor
150.00	1.0000	0.51636	1.9367	2582.9	2776.6	7.6148	1.4959	1.9846	504.73	3.6861	14.183	0.028856	vapor
151.04	1.0000	0.51504	1.9416	2584.5	2778.7	7.6196	1.4957	1.9840	505.36	3.6478	14.224	0.028942	vapor
152.08	1.0000	0.51373	1.9465	2586.1	2780.7	7.6245	1.4954	1.9834	505.99	3.6100	14.265	0.029029	vapor
153.13	1.0000	0.51243	1.9515	2587.7	2782.8	7.6293	1.4952	1.9828	506.62	3.5728	14.306	0.029116	vapor
154.17	1.0000	0.51114	1.9564	2589.2	2784.9	7.6342	1.4950	1.9822	507.25	3.5362	14.347	0.029203	vapor
155.21	1.0000	0.50985	1.9614	2590.8	2786.9	7.6390	1.4948	1.9817	507.87	3.5002	14.388	0.029291	vapor
156.25	1.0000	0.50857	1.9663	2592.4	2789.0	7.6438	1.4946	1.9812	508.50	3.4648	14.429	0.029379	vapor
157.29	1.0000	0.50730	1.9712	2593.9	2791.1	7.6486	1.4945	1.9807	509.12	3.4298	14.470	0.029467	vapor
158.33	1.0000	0.50603	1.9762	2595.5	2793.1	7.6534	1.4943	1.9802	509.74	3.3955	14.511	0.029555	vapor
159.38	1.0000	0.50477	1.9811	2597.1	2795.2	7.6582	1.4942	1.9798	510.36	3.3616	14.552	0.029644	vapor
160.42	1.0000	0.50352	1.9860	2598.6	2797.2	7.6629	1.4941	1.9793	510.98	3.3283	14.593	0.029733	vapor
161.46	1.0000	0.50227	1.9910	2600.2	2799.3	7.6677	1.4940	1.9789	511.60	3.2954	14.634	0.029822	vapor
162.50	1.0000	0.50103	1.9959	2601.8	2801.4	7.6724	1.4939	1.9786	512.22	3.2631	14.675	0.029912	vapor
163.54	1.0000	0.49980	2.0008	2603.3	2803.4	7.6772	1.4939	1.9782	512.83	3.2312	14.717	0.030001	vapor
164.58	1.0000	0.49857	2.0057	2604.9	2805.5	7.6819	1.4938	1.9779	513.45	3.1998	14.758	0.030091	vapor
165.63	1.0000	0.49735	2.0107	2606.5	2807.6	7.6866	1.4938	1.9775	514.06	3.1689	14.799	0.030181	vapor
166.67	1.0000	0.49613	2.0156	2608.1	2809.6	7.6913	1.4938	1.9772	514.68	3.1384	14.840	0.030272	vapor
167.71	1.0000	0.49493	2.0205	2609.6	2811.7	7.6959	1.4938	1.9770	515.29	3.1084	14.882	0.030362	vapor
168.75	1.0000	0.49372	2.0254	2611.2	2813.7	7.7006	1.4938	1.9767	515.90	3.0788	14.923	0.030453	vapor
169.79	1.0000	0.49253	2.0303	2612.8	2815.8	7.7053	1.4938	1.9764	516.50	3.0497	14.965	0.030544	vapor
170.83	1.0000	0.49134	2.0353	2614.3	2817.8	7.7099	1.4938	1.9762	517.11	3.0209	15.006	0.030636	vapor
171.88	1.0000	0.49015	2.0402	2615.9	2819.9	7.7145	1.4939	1.9760	517.72	2.9926	15.047	0.030727	vapor
172.92	1.0000	0.48898	2.0451	2617.5	2822.0	7.7192	1.4939	1.9758	518.32	2.9647	15.089	0.030819	vapor
173.96	1.0000	0.48781	2.0500	2619.0	2824.0	7.7238	1.4940	1.9756	518.93	2.9372	15.130	0.030911	vapor
175.00	1.0000	0.48664	2.0549	2620.6	2826.1	7.7284	1.4941	1.9755	519.53	2.9101	15.172	0.031004	vapor
176.04	1.0000	0.48548	2.0598	2622.2	2828.1	7.7329	1.4942	1.9753	520.13	2.8833	15.214	0.031096	vapor
177.08	1.0000	0.48433	2.0647	2623.7	2830.2	7.7375	1.4943	1.9752	520.73	2.8570	15.255	0.031189	vapor
178.13	1.0000	0.48318	2.0696	2625.3	2832.3	7.7421	1.4944	1.9751	521.33	2.8310	15.297	0.031282	vapor
179.17	1.0000	0.48204	2.0745	2626.9	2834.3	7.7466	1.4945	1.9749	521.93	2.8054	15.339	0.031375	vapor
180.21	1.0000	0.48090	2.0794	2628.4	2836.4	7.7512	1.4947	1.9749	522.53	2.7801	15.380	0.031468	vapor
181.25	1.0000	0.47977	2.0843	2630.0	2838.4	7.7557	1.4948	1.9748	523.13	2.7552	15.422	0.031562	vapor
182.29	1.0000	0.47864	2.0892	2631.6	2840.5	7.7602	1.4950	1.9747	523.72	2.7306	15.464	0.031656	vapor
183.33	1.0000	0.47752	2.0941	2633.1	2842.5	7.7647	1.4951	1.9747	524.32	2.7064	15.505	0.031750	vapor
184.38	1.0000	0.47641	2.0990	2634.7	2844.6	7.7692	1.4953	1.9746	524.91	2.6825	15.547	0.031844	vapor
185.42	1.0000	0.47530	2.1039	2636.3	2846.7	7.7737	1.4955	1.9746	525.50	2.6589	15.589	0.031939	vapor
186.46	1.0000	0.47419	2.1088	2637.8	2848.7	7.7782	1.4957	1.9746	526.09	2.6356	15.631	0.032034	vapor
187.50	1.0000	0.47309	2.1137	2639.4	2850.8	7.7827	1.4959	1.9746	526.68	2.6127	15.673	0.032129	vapor
188.54	1.0000	0.47200	2.1186	2641.0	2852.8	7.7871	1.4961	1.9746	527.27	2.5900	15.715	0.032224	vapor
189.58	1.0000	0.47091	2.1235	2642.5	2854.9	7.7916	1.4963	1.9746	527.86	2.5677	15.757	0.032319	vapor
190.63	1.0000	0.46983	2.1284	2644.1	2856.9	7.7960	1.4965	1.9746	528.45	2.5456	15.798	0.032415	vapor
191.67	1.0000	0.46875	2.1333	2645.7	2859.0	7.8005	1.4967	1.9747	529.04	2.5239	15.840	0.032511	vapor
192.71	1.0000	0.46768	2.1382	2647.2	2861.0	7.8049	1.4970	1.9747	529.62	2.5024	15.882	0.032607	vapor
193.75	1.0000	0.46661	2.1431	2648.8	2863.1	7.8093	1.4972	1.9748	530.21	2.4812	15.924	0.032703	vapor
194.79	1.0000	0.46555	2.1480	2650.4	2865.2	7.8137	1.4975	1.9749	530.79	2.4603	15.966	0.032799	vapor
195.83	1.0000	0.46449	2.1529	2651.9	2867.2	7.8181	1.4977	1.9750	531.37	2.4397	16.008	0.032896	vapor
196.88	1.0000	0.46344	2.1578	2653.5	2869.3	7.8225	1.4980	1.9751	531.95	2.4193	16.051	0.032993	vapor
197.92	1.0000	0.46239	2.1627	2655.1	2871.3	7.8268	1.4983	1.9752	532.53	2.3992	16.093	0.033090	vapor
198.96	1.0000	0.46135	2.1675	2656.6	2873.4	7.8312	1.4986	1.9753	533.11	2.3794	16.135	0.033187	vapor
200.00	1.0000	0.46031	2.1724	2658.2	2875.5	7.8356	1.4988	1.9754	533.69	2.3598	16.177	0.033284	vapor
201.04	1.0000	0.45928	2.1773	2659.8	2877.5	7.8399	1.4991	1.9755	534.27	2.3404	16.219	0.033382	vapor
202.08	1.0000	0.45825	2.1822	2661.3	2879.6	7.8442	1.4994	1.9757	534.85	2.3213	16.261	0.033480	vapor
203.13	1.0000	0.45723	2.1871	2662.9	2881.6	7.8486	1.4997	1.9758	535.42	2.3025	16.303	0.033578	vapor
204.17	1.0000	0.45621	2.1920	2664.5	2883.7	7.8529	1.5001	1.9760	536.00	2.2838	16.346	0.033676	vapor
205.21	1.0000	0.45520	2.1968	2666.1	2885.7	7.8572	1.5004	1.9762	536.57	2.2654	16.388	0.033775	vapor
206.25	1.0000	0.45419	2.2017	2667.6	2887.8	7.8615	1.5007	1.9763	537.15	2.2473	16.430	0.033873	vapor
207.29	1.0000	0.45318	2.2066	2669.2	2889.9	7.8658	1.5010	1.9765	537.72	2.2293	16.472	0.033972	vapor
208.33	1.0000	0.45218	2.2115	2670.8	2891.9	7.8701	1.5014	1.9767	538.29	2.2116	16.515	0.034071	vapor
209.38	1.0000	0.45119	2.2164	2672.3	2894.0	7.8743	1.5017	1.9769	538.86	2.1941	16.557	0.034170	vapor
210.42	1.0000	0.45020	2.2212	2673.9	2896.0	7.8786	1.5021	1.9771	539.43	2.1768	16.599	0.034269	vapor
211.46	1.0000	0.44921	2.2261	2675.5	2898.1	7.8829	1.5024	1.9773	540.00	2.1597	16.642	0.034369	vapor
212.50	1.0000	0.44823	2.2310	2677.1	2900.2	7.8871	1.5028	1.9775	540.57	2.1429	16.684	0.034469	vapor
213.54	1.0000	0.44725	2.2359	2678.6	2902.2	7.8913	1.5031	1.9778	541.14	2.1262	16.726	0.034569	vapor
214.58	1.0000	0.44628	2.2408	2680.2	2904.3	7.8956	1.5035	1.9780	541.70	2.1097	16.769	0.034669	vapor
215.63	1.0000	0.44531	2.2456	2681.8	2906.3	7.8998	1.5039	1.9783	542.27	2.0935	16.811	0.034769	vapor
