Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
733.09	1.0000	0.29584	3.3802	55.230	61.320	157.15	29.617	37.976	658.04	0.58077	26.930	0.061991	vapor
734.75	1.0000	0.29517	3.3879	55.279	61.383	157.24	29.637	37.995	658.74	0.57696	26.999	0.062196	vapor
736.42	1.0000	0.29450	3.3956	55.329	61.446	157.32	29.656	38.015	659.44	0.57318	27.068	0.062402	vapor
738.09	1.0000	0.29383	3.4033	55.378	61.510	157.41	29.676	38.035	660.14	0.56944	27.136	0.062607	vapor
739.75	1.0000	0.29317	3.4110	55.428	61.573	157.50	29.696	38.054	660.84	0.56574	27.205	0.062813	vapor
741.42	1.0000	0.29251	3.4187	55.477	61.636	157.58	29.717	38.074	661.54	0.56207	27.273	0.063019	vapor
743.08	1.0000	0.29185	3.4264	55.527	61.700	157.67	29.737	38.094	662.23	0.55843	27.342	0.063225	vapor
744.75	1.0000	0.29119	3.4342	55.577	61.763	157.75	29.757	38.113	662.93	0.55483	27.410	0.063431	vapor
746.42	1.0000	0.29054	3.4419	55.626	61.827	157.84	29.777	38.133	663.62	0.55125	27.479	0.063638	vapor
748.08	1.0000	0.28989	3.4496	55.676	61.890	157.92	29.797	38.153	664.32	0.54771	27.547	0.063845	vapor
749.75	1.0000	0.28924	3.4573	55.726	61.954	158.01	29.817	38.173	665.01	0.54421	27.616	0.064052	vapor
751.42	1.0000	0.28860	3.4650	55.775	62.018	158.09	29.837	38.192	665.70	0.54073	27.684	0.064259	vapor
753.08	1.0000	0.28796	3.4727	55.825	62.081	158.18	29.857	38.212	666.39	0.53729	27.753	0.064466	vapor
754.75	1.0000	0.28732	3.4804	55.875	62.145	158.26	29.877	38.232	667.08	0.53387	27.821	0.064674	vapor
756.42	1.0000	0.28669	3.4881	55.925	62.209	158.35	29.898	38.252	667.77	0.53049	27.889	0.064882	vapor
758.08	1.0000	0.28605	3.4958	55.975	62.272	158.43	29.918	38.272	668.46	0.52713	27.958	0.065089	vapor
759.75	1.0000	0.28543	3.5035	56.025	62.336	158.51	29.938	38.292	669.14	0.52381	28.026	0.065298	vapor
761.42	1.0000	0.28480	3.5113	56.074	62.400	158.60	29.958	38.312	669.83	0.52051	28.094	0.065506	vapor
763.08	1.0000	0.28417	3.5190	56.124	62.464	158.68	29.978	38.332	670.51	0.51725	28.163	0.065715	vapor
764.75	1.0000	0.28355	3.5267	56.174	62.528	158.77	29.999	38.352	671.20	0.51401	28.231	0.065923	vapor
766.41	1.0000	0.28294	3.5344	56.224	62.592	158.85	30.019	38.372	671.88	0.51080	28.299	0.066132	vapor
768.08	1.0000	0.28232	3.5421	56.275	62.656	158.93	30.039	38.392	672.56	0.50762	28.367	0.066341	vapor
769.75	1.0000	0.28171	3.5498	56.325	62.720	159.02	30.060	38.412	673.25	0.50447	28.435	0.066551	vapor
771.41	1.0000	0.28110	3.5575	56.375	62.784	159.10	30.080	38.432	673.93	0.50134	28.504	0.066760	vapor
773.08	1.0000	0.28049	3.5652	56.425	62.848	159.18	30.100	38.452	674.61	0.49824	28.572	0.066970	vapor
774.75	1.0000	0.27988	3.5729	56.475	62.912	159.26	30.121	38.472	675.29	0.49517	28.640	0.067180	vapor
776.41	1.0000	0.27928	3.5806	56.525	62.976	159.35	30.141	38.492	675.96	0.49212	28.708	0.067390	vapor
778.08	1.0000	0.27868	3.5883	56.576	63.040	159.43	30.161	38.512	676.64	0.48910	28.776	0.067600	vapor
779.75	1.0000	0.27808	3.5960	56.626	63.104	159.51	30.182	38.532	677.32	0.48611	28.844	0.067811	vapor
781.41	1.0000	0.27749	3.6037	56.676	63.169	159.59	30.202	38.552	677.99	0.48314	28.912	0.068022	vapor
783.08	1.0000	0.27690	3.6115	56.727	63.233	159.68	30.223	38.573	678.67	0.48020	28.980	0.068232	vapor
784.74	1.0000	0.27631	3.6192	56.777	63.297	159.76	30.243	38.593	679.34	0.47728	29.048	0.068444	vapor
786.41	1.0000	0.27572	3.6269	56.828	63.361	159.84	30.264	38.613	680.01	0.47438	29.116	0.068655	vapor
788.08	1.0000	0.27514	3.6346	56.878	63.426	159.92	30.284	38.633	680.69	0.47152	29.184	0.068866	vapor
789.74	1.0000	0.27455	3.6423	56.929	63.490	160.00	30.305	38.653	681.36	0.46867	29.252	0.069078	vapor
791.41	1.0000	0.27397	3.6500	56.979	63.555	160.09	30.325	38.674	682.03	0.46585	29.320	0.069290	vapor
793.08	1.0000	0.27340	3.6577	57.030	63.619	160.17	30.346	38.694	682.70	0.46305	29.388	0.069502	vapor
794.74	1.0000	0.27282	3.6654	57.080	63.684	160.25	30.366	38.714	683.37	0.46027	29.455	0.069714	vapor
796.41	1.0000	0.27225	3.6731	57.131	63.748	160.33	30.387	38.735	684.03	0.45752	29.523	0.069926	vapor
798.08	1.0000	0.27168	3.6808	57.182	63.813	160.41	30.407	38.755	684.70	0.45479	29.591	0.070139	vapor
799.74	1.0000	0.27111	3.6885	57.232	63.877	160.49	30.428	38.775	685.37	0.45209	29.659	0.070352	vapor
801.41	1.0000	0.27055	3.6962	57.283	63.942	160.57	30.449	38.796	686.03	0.44940	29.727	0.070565	vapor
803.08	1.0000	0.26998	3.7039	57.334	64.007	160.65	30.469	38.816	686.70	0.44674	29.794	0.070778	vapor
804.74	1.0000	0.26942	3.7116	57.385	64.071	160.73	30.490	38.836	687.36	0.44410	29.862	0.070991	vapor
806.41	1.0000	0.26886	3.7193	57.436	64.136	160.81	30.510	38.857	688.02	0.44148	29.930	0.071204	vapor
808.07	1.0000	0.26831	3.7270	57.486	64.201	160.89	30.531	38.877	688.69	0.43888	29.997	0.071418	vapor
809.74	1.0000	0.26776	3.7348	57.537	64.266	160.97	30.552	38.898	689.35	0.43630	30.065	0.071632	vapor
811.41	1.0000	0.26720	3.7425	57.588	64.330	161.05	30.572	38.918	690.01	0.43375	30.132	0.071846	vapor
813.07	1.0000	0.26666	3.7502	57.639	64.395	161.13	30.593	38.939	690.67	0.43121	30.200	0.072060	vapor
814.74	1.0000	0.26611	3.7579	57.690	64.460	161.21	30.614	38.959	691.33	0.42870	30.267	0.072274	vapor
816.41	1.0000	0.26556	3.7656	57.741	64.525	161.29	30.635	38.980	691.98	0.42620	30.335	0.072489	vapor
818.07	1.0000	0.26502	3.7733	57.792	64.590	161.37	30.655	39.000	692.64	0.42373	30.402	0.072704	vapor
819.74	1.0000	0.26448	3.7810	57.844	64.655	161.45	30.676	39.021	693.30	0.42127	30.470	0.072919	vapor
821.41	1.0000	0.26394	3.7887	57.895	64.720	161.53	30.697	39.041	693.95	0.41884	30.537	0.073134	vapor
823.07	1.0000	0.26341	3.7964	57.946	64.785	161.61	30.718	39.062	694.61	0.41642	30.605	0.073349	vapor
824.74	1.0000	0.26287	3.8041	57.997	64.850	161.69	30.738	39.082	695.26	0.41402	30.672	0.073564	vapor
826.40	1.0000	0.26234	3.8118	58.048	64.916	161.77	30.759	39.103	695.92	0.41165	30.739	0.073780	vapor
828.07	1.0000	0.26181	3.8195	58.100	64.981	161.85	30.780	39.124	696.57	0.40929	30.807	0.073996	vapor
829.74	1.0000	0.26129	3.8272	58.151	65.046	161.93	30.801	39.144	697.22	0.40694	30.874	0.074212	vapor
831.40	1.0000	0.26076	3.8349	58.202	65.111	162.00	30.822	39.165	697.87	0.40462	30.941	0.074428	vapor
833.07	1.0000	0.26024	3.8426	58.254	65.176	162.08	30.842	39.185	698.52	0.40232	31.009	0.074644	vapor
834.74	1.0000	0.25972	3.8503	58.305	65.242	162.16	30.863	39.206	699.17	0.40003	31.076	0.074860	vapor
836.40	1.0000	0.25920	3.8580	58.357	65.307	162.24	30.884	39.227	699.82	0.39776	31.143	0.075077	vapor
838.07	1.0000	0.25868	3.8657	58.408	65.372	162.32	30.905	39.247	700.47	0.39551	31.210	0.075294	vapor
839.74	1.0000	0.25817	3.8734	58.460	65.438	162.40	30.926	39.268	701.11	0.39328	31.277	0.075511	vapor
841.40	1.0000	0.25766	3.8811	58.511	65.503	162.47	30.947	39.289	701.76	0.39106	31.344	0.075728	vapor
843.07	1.0000	0.25715	3.8888	58.563	65.569	162.55	30.968	39.310	702.41	0.38886	31.411	0.075945	vapor
844.74	1.0000	0.25664	3.8965	58.615	65.634	162.63	30.989	39.330	703.05	0.38668	31.478	0.076163	vapor
846.40	1.0000	0.25613	3.9042	58.666	65.700	162.71	31.010	39.351	703.69	0.38451	31.545	0.076380	vapor
848.07	1.0000	0.25563	3.9119	58.718	65.766	162.78	31.031	39.372	704.34	0.38236	31.612	0.076598	vapor
