Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1004.7	1.0000	0.21571	4.6358	63.736	72.087	169.62	33.023	41.352	761.82	0.23564	37.773	0.097738	vapor
1006.4	1.0000	0.21536	4.6435	63.791	72.156	169.69	33.044	41.374	762.40	0.23452	37.837	0.097970	vapor
1008.0	1.0000	0.21500	4.6512	63.846	72.225	169.76	33.065	41.395	762.98	0.23341	37.901	0.098201	vapor
1009.7	1.0000	0.21465	4.6589	63.901	72.294	169.82	33.086	41.416	763.56	0.23230	37.965	0.098433	vapor
1011.4	1.0000	0.21429	4.6666	63.956	72.363	169.89	33.108	41.437	764.14	0.23120	38.029	0.098664	vapor
1013.0	1.0000	0.21394	4.6742	64.012	72.432	169.96	33.129	41.458	764.72	0.23011	38.093	0.098896	vapor
1014.7	1.0000	0.21359	4.6819	64.067	72.502	170.03	33.150	41.479	765.30	0.22903	38.157	0.099128	vapor
1016.4	1.0000	0.21324	4.6896	64.122	72.571	170.10	33.171	41.500	765.88	0.22795	38.221	0.099360	vapor
1018.0	1.0000	0.21289	4.6973	64.177	72.640	170.17	33.193	41.522	766.46	0.22687	38.285	0.099592	vapor
1019.7	1.0000	0.21254	4.7050	64.233	72.709	170.23	33.214	41.543	767.04	0.22581	38.349	0.099824	vapor
1021.4	1.0000	0.21219	4.7127	64.288	72.778	170.30	33.235	41.564	767.62	0.22475	38.412	0.10006	vapor
1023.0	1.0000	0.21184	4.7204	64.344	72.848	170.37	33.256	41.585	768.20	0.22369	38.476	0.10029	vapor
1024.7	1.0000	0.21150	4.7281	64.399	72.917	170.44	33.277	41.606	768.77	0.22264	38.540	0.10052	vapor
1026.4	1.0000	0.21116	4.7358	64.454	72.986	170.50	33.299	41.627	769.35	0.22160	38.603	0.10075	vapor
1028.0	1.0000	0.21081	4.7435	64.510	73.056	170.57	33.320	41.648	769.93	0.22057	38.667	0.10099	vapor
1029.7	1.0000	0.21047	4.7512	64.566	73.125	170.64	33.341	41.669	770.50	0.21954	38.731	0.10122	vapor
1031.4	1.0000	0.21013	4.7589	64.621	73.194	170.71	33.362	41.691	771.08	0.21852	38.794	0.10145	vapor
1033.0	1.0000	0.20979	4.7666	64.677	73.264	170.77	33.383	41.712	771.65	0.21750	38.858	0.10169	vapor
1034.7	1.0000	0.20945	4.7743	64.732	73.333	170.84	33.404	41.733	772.23	0.21649	38.921	0.10192	vapor
1036.4	1.0000	0.20912	4.7820	64.788	73.403	170.91	33.426	41.754	772.80	0.21549	38.984	0.10215	vapor
1038.0	1.0000	0.20878	4.7897	64.844	73.473	170.98	33.447	41.775	773.37	0.21449	39.048	0.10239	vapor
1039.7	1.0000	0.20845	4.7974	64.900	73.542	171.04	33.468	41.796	773.94	0.21350	39.111	0.10262	vapor
1041.4	1.0000	0.20811	4.8051	64.955	73.612	171.11	33.489	41.817	774.52	0.21251	39.175	0.10285	vapor
1043.0	1.0000	0.20778	4.8128	65.011	73.682	171.18	33.510	41.838	775.09	0.21153	39.238	0.10309	vapor
1044.7	1.0000	0.20745	4.8205	65.067	73.751	171.24	33.531	41.859	775.66	0.21056	39.301	0.10332	vapor
1046.4	1.0000	0.20712	4.8282	65.123	73.821	171.31	33.552	41.880	776.23	0.20959	39.364	0.10356	vapor
1048.0	1.0000	0.20679	4.8359	65.179	73.891	171.38	33.574	41.901	776.80	0.20862	39.428	0.10379	vapor
1049.7	1.0000	0.20646	4.8436	65.235	73.961	171.44	33.595	41.922	777.37	0.20767	39.491	0.10402	vapor
1051.4	1.0000	0.20613	4.8513	65.291	74.031	171.51	33.616	41.943	777.94	0.20671	39.554	0.10426	vapor
1053.0	1.0000	0.20580	4.8590	65.347	74.101	171.58	33.637	41.964	778.51	0.20577	39.617	0.10449	vapor
1054.7	1.0000	0.20548	4.8667	65.403	74.171	171.64	33.658	41.985	779.07	0.20483	39.680	0.10473	vapor
1056.4	1.0000	0.20515	4.8744	65.459	74.241	171.71	33.679	42.006	779.64	0.20389	39.743	0.10496	vapor
1058.0	1.0000	0.20483	4.8821	65.515	74.311	171.78	33.700	42.027	780.21	0.20296	39.806	0.10520	vapor
1059.7	1.0000	0.20451	4.8898	65.572	74.381	171.84	33.721	42.048	780.77	0.20204	39.869	0.10543	vapor
1061.4	1.0000	0.20419	4.8975	65.628	74.451	171.91	33.742	42.069	781.34	0.20112	39.932	0.10567	vapor
1063.0	1.0000	0.20387	4.9052	65.684	74.521	171.97	33.763	42.090	781.91	0.20020	39.995	0.10590	vapor
1064.7	1.0000	0.20355	4.9129	65.740	74.591	172.04	33.784	42.111	782.47	0.19930	40.058	0.10614	vapor
1066.4	1.0000	0.20323	4.9206	65.797	74.661	172.11	33.805	42.132	783.04	0.19839	40.121	0.10637	vapor
1068.0	1.0000	0.20291	4.9283	65.853	74.731	172.17	33.826	42.153	783.60	0.19749	40.184	0.10661	vapor
1069.7	1.0000	0.20260	4.9359	65.909	74.802	172.24	33.848	42.174	784.16	0.19660	40.246	0.10685	vapor
1071.4	1.0000	0.20228	4.9436	65.966	74.872	172.30	33.869	42.195	784.73	0.19571	40.309	0.10708	vapor
1073.0	1.0000	0.20197	4.9513	66.022	74.942	172.37	33.890	42.216	785.29	0.19483	40.372	0.10732	vapor
1074.7	1.0000	0.20165	4.9590	66.079	75.013	172.43	33.911	42.237	785.85	0.19395	40.435	0.10755	vapor
1076.4	1.0000	0.20134	4.9667	66.135	75.083	172.50	33.932	42.258	786.41	0.19308	40.497	0.10779	vapor
1078.0	1.0000	0.20103	4.9744	66.192	75.153	172.56	33.953	42.279	786.97	0.19221	40.560	0.10803	vapor
1079.7	1.0000	0.20072	4.9821	66.249	75.224	172.63	33.973	42.300	787.53	0.19135	40.623	0.10826	vapor
1081.4	1.0000	0.20041	4.9898	66.305	75.294	172.70	33.994	42.321	788.09	0.19049	40.685	0.10850	vapor
1083.0	1.0000	0.20010	4.9975	66.362	75.365	172.76	34.015	42.342	788.65	0.18964	40.748	0.10873	vapor
1084.7	1.0000	0.19979	5.0052	66.419	75.436	172.83	34.036	42.363	789.21	0.18879	40.810	0.10897	vapor
1086.4	1.0000	0.19948	5.0129	66.475	75.506	172.89	34.057	42.384	789.77	0.18795	40.873	0.10921	vapor
1088.0	1.0000	0.19918	5.0206	66.532	75.577	172.96	34.078	42.404	790.33	0.18711	40.935	0.10944	vapor
1089.7	1.0000	0.19887	5.0283	66.589	75.647	173.02	34.099	42.425	790.89	0.18628	40.997	0.10968	vapor
1091.4	1.0000	0.19857	5.0360	66.646	75.718	173.09	34.120	42.446	791.45	0.18545	41.060	0.10992	vapor
1093.0	1.0000	0.19827	5.0437	66.703	75.789	173.15	34.141	42.467	792.00	0.18462	41.122	0.11016	vapor
1094.7	1.0000	0.19797	5.0514	66.760	75.860	173.21	34.162	42.488	792.56	0.18380	41.184	0.11039	vapor
1096.4	1.0000	0.19766	5.0591	66.816	75.931	173.28	34.183	42.509	793.11	0.18299	41.247	0.11063	vapor
1098.0	1.0000	0.19736	5.0668	66.873	76.001	173.34	34.204	42.529	793.67	0.18218	41.309	0.11087	vapor
1099.7	1.0000	0.19706	5.0745	66.930	76.072	173.41	34.224	42.550	794.23	0.18137	41.371	0.11111	vapor
1101.4	1.0000	0.19677	5.0822	66.988	76.143	173.47	34.245	42.571	794.78	0.18057	41.433	0.11134	vapor
1103.0	1.0000	0.19647	5.0899	67.045	76.214	173.54	34.266	42.592	795.33	0.17977	41.495	0.11158	vapor
1104.7	1.0000	0.19617	5.0976	67.102	76.285	173.60	34.287	42.613	795.89	0.17898	41.557	0.11182	vapor
1106.4	1.0000	0.19588	5.1053	67.159	76.356	173.67	34.308	42.633	796.44	0.17819	41.619	0.11206	vapor
1108.0	1.0000	0.19558	5.1130	67.216	76.427	173.73	34.329	42.654	796.99	0.17741	41.681	0.11229	vapor
1109.7	1.0000	0.19529	5.1207	67.273	76.498	173.79	34.349	42.675	797.55	0.17663	41.743	0.11253	vapor
1111.4	1.0000	0.19499	5.1284	67.331	76.569	173.86	34.370	42.696	798.10	0.17585	41.805	0.11277	vapor
1113.0	1.0000	0.19470	5.1360	67.388	76.641	173.92	34.391	42.716	798.65	0.17508	41.867	0.11301	vapor
1114.7	1.0000	0.19441	5.1437	67.445	76.712	173.99	34.412	42.737	799.20	0.17431	41.929	0.11325	vapor
1116.4	1.0000	0.19412	5.1514	67.503	76.783	174.05	34.433	42.758	799.75	0.17355	41.991	0.11349	vapor
1118.0	1.0000	0.19383	5.1591	67.560	76.854	174.11	34.453	42.778	800.30	0.17279	42.053	0.11372	vapor
1119.7	1.0000	0.19354	5.1668	67.617	76.926	174.18	34.474	42.799	800.85	0.17204	42.115	0.11396	vapor
1121.4	1.0000	0.19325	5.1745	67.675	76.997	174.24	34.495	42.820	801.40	0.17129	42.176	0.11420	vapor
1123.0	1.0000	0.19297	5.1822	67.732	77.068	174.30	34.515	42.841	801.95	0.17054	42.238	0.11444	vapor
1124.7	1.0000	0.19268	5.1899	67.790	77.140	174.37	34.536	42.861	802.50	0.16980	42.300	0.11468	vapor
1126.4	1.0000	0.19240	5.1976	67.848	77.211	174.43	34.557	42.882	803.05	0.16906	42.362	0.11492	vapor
1128.0	1.0000	0.19211	5.2053	67.905	77.283	174.50	34.578	42.902	803.59	0.16833	42.423	0.11516	vapor
1129.7	1.0000	0.19183	5.2130	67.963	77.354	174.56	34.598	42.923	804.14	0.16760	42.485	0.11540	vapor
1131.4	1.0000	0.19155	5.2207	68.021	77.426	174.62	34.619	42.944	804.69	0.16687	42.546	0.11564	vapor
1133.0	1.0000	0.19126	5.2284	68.078	77.497	174.68	34.640	42.964	805.23	0.16615	42.608	0.11588	vapor
1134.7	1.0000	0.19098	5.2361	68.136	77.569	174.75	34.660	42.985	805.78	0.16543	42.669	0.11612	vapor
1136.4	1.0000	0.19070	5.2438	68.194	77.641	174.81	34.681	43.005	806.33	0.16472	42.731	0.11636	vapor
1138.0	1.0000	0.19042	5.2515	68.252	77.712	174.87	34.701	43.026	806.87	0.16400	42.792	0.11660	vapor
1139.7	1.0000	0.19014	5.2592	68.309	77.784	174.94	34.722	43.047	807.42	0.16330	42.854	0.11684	vapor
1141.4	1.0000	0.18987	5.2669	68.367	77.856	175.00	34.743	43.067	807.96	0.16259	42.915	0.11708	vapor
1143.0	1.0000	0.18959	5.2746	68.425	77.928	175.06	34.763	43.088	808.50	0.16190	42.976	0.11732	vapor
1144.7	1.0000	0.18931	5.2823	68.483	77.999	175.13	34.784	43.108	809.05	0.16120	43.038	0.11756	vapor
1146.4	1.0000	0.18904	5.2900	68.541	78.071	175.19	34.804	43.129	809.59	0.16051	43.099	0.11780	vapor
1148.0	1.0000	0.18876	5.2977	68.599	78.143	175.25	34.825	43.149	810.13	0.15982	43.160	0.11804	vapor
1149.7	1.0000	0.18849	5.3053	68.657	78.215	175.31	34.845	43.170	810.67	0.15913	43.221	0.11828	vapor
1151.4	1.0000	0.18822	5.3130	68.715	78.287	175.38	34.866	43.190	811.22	0.15845	43.283	0.11852	vapor
1153.0	1.0000	0.18794	5.3207	68.773	78.359	175.44	34.886	43.210	811.76	0.15778	43.344	0.11876	vapor
1154.7	1.0000	0.18767	5.3284	68.832	78.431	175.50	34.907	43.231	812.30	0.15710	43.405	0.11900	vapor
1156.4	1.0000	0.18740	5.3361	68.890	78.503	175.56	34.927	43.251	812.84	0.15643	43.466	0.11924	vapor
1158.0	1.0000	0.18713	5.3438	68.948	78.575	175.63	34.948	43.272	813.38	0.15577	43.527	0.11948	vapor
1159.7	1.0000	0.18686	5.3515	69.006	78.647	175.69	34.968	43.292	813.92	0.15510	43.588	0.11972	vapor
1161.4	1.0000	0.18659	5.3592	69.065	78.719	175.75	34.989	43.313	814.46	0.15444	43.649	0.11996	vapor
1163.0	1.0000	0.18633	5.3669	69.123	78.792	175.81	35.009	43.333	815.00	0.15379	43.710	0.12020	vapor
1164.7	1.0000	0.18606	5.3746	69.181	78.864	175.87	35.029	43.353	815.54	0.15313	43.771	0.12045	vapor
1166.4	1.0000	0.18579	5.3823	69.240	78.936	175.94	35.050	43.374	816.07	0.15248	43.832	0.12069	vapor
1168.0	1.0000	0.18553	5.3900	69.298	79.008	176.00	35.070	43.394	816.61	0.15184	43.892	0.12093	vapor
1169.7	1.0000	0.18526	5.3977	69.357	79.081	176.06	35.091	43.414	817.15	0.15120	43.953	0.12117	vapor
1171.3	1.0000	0.18500	5.4054	69.415	79.153	176.12	35.111	43.435	817.69	0.15056	44.014	0.12141	vapor
1173.0	1.0000	0.18474	5.4131	69.474	79.225	176.18	35.131	43.455	818.22	0.14992	44.075	0.12165	vapor
1174.7	1.0000	0.18448	5.4208	69.532	79.298	176.25	35.152	43.475	818.76	0.14929	44.136	0.12190	vapor
1176.3	1.0000	0.18421	5.4285	69.591	79.370	176.31	35.172	43.495	819.29	0.14866	44.196	0.12214	vapor
1178.0	1.0000	0.18395	5.4362	69.649	79.443	176.37	35.192	43.516	819.83	0.14803	44.257	0.12238	vapor
1179.7	1.0000	0.18369	5.4439	69.708	79.515	176.43	35.212	43.536	820.36	0.14741	44.317	0.12262	vapor
1181.3	1.0000	0.18343	5.4516	69.767	79.588	176.49	35.233	43.556	820.90	0.14679	44.378	0.12286	vapor
1183.0	1.0000	0.18318	5.4593	69.826	79.661	176.55	35.253	43.576	821.43	0.14617	44.439	0.12311	vapor
1184.7	1.0000	0.18292	5.4669	69.884	79.733	176.61	35.273	43.597	821.97	0.14556	44.499	0.12335	vapor
1186.3	1.0000	0.18266	5.4746	69.943	79.806	176.68	35.293	43.617	822.50	0.14495	44.560	0.12359	vapor
1188.0	1.0000	0.18240	5.4823	70.002	79.879	176.74	35.314	43.637	823.03	0.14434	44.620	0.12383	vapor
1189.7	1.0000	0.18215	5.4900	70.061	79.951	176.80	35.334	43.657	823.56	0.14374	44.680	0.12408	vapor
1191.3	1.0000	0.18189	5.4977	70.120	80.024	176.86	35.354	43.677	824.10	0.14314	44.741	0.12432	vapor
1193.0	1.0000	0.18164	5.5054	70.179	80.097	176.92	35.374	43.697	824.63	0.14254	44.801	0.12456	vapor
1194.7	1.0000	0.18139	5.5131	70.238	80.170	176.98	35.394	43.717	825.16	0.14194	44.862	0.12480	vapor
1196.3	1.0000	0.18113	5.5208	70.297	80.243	177.04	35.414	43.737	825.69	0.14135	44.922	0.12505	vapor
1198.0	1.0000	0.18088	5.5285	70.356	80.315	177.10	35.434	43.758	826.22	0.14076	44.982	0.12529	vapor
1199.7	1.0000	0.18063	5.5362	70.415	80.388	177.16	35.455	43.778	826.75	0.14018	45.042	0.12553	vapor
1201.3	1.0000	0.18038	5.5439	70.474	80.461	177.22	35.475	43.798	827.28	0.13959	45.102	0.12578	vapor
1203.0	1.0000	0.18013	5.5516	70.533	80.534	177.29	35.495	43.818	827.81	0.13901	45.163	0.12602	vapor
1204.7	1.0000	0.17988	5.5593	70.592	80.607	177.35	35.515	43.838	828.34	0.13844	45.223	0.12626	vapor
1206.3	1.0000	0.17963	5.5670	70.651	80.680	177.41	35.535	43.858	828.87	0.13786	45.283	0.12651	vapor
1208.0	1.0000	0.17938	5.5747	70.711	80.754	177.47	35.555	43.878	829.40	0.13729	45.343	0.12675	vapor
1209.7	1.0000	0.17914	5.5824	70.770	80.827	177.53	35.575	43.898	829.92	0.13672	45.403	0.12699	vapor
1211.3	1.0000	0.17889	5.5901	70.829	80.900	177.59	35.595	43.918	830.45	0.13616	45.463	0.12724	vapor
1213.0	1.0000	0.17864	5.5978	70.889	80.973	177.65	35.615	43.938	830.98	0.13559	45.523	0.12748	vapor
1214.7	1.0000	0.17840	5.6055	70.948	81.046	177.71	35.635	43.957	831.51	0.13503	45.583	0.12772	vapor
1216.3	1.0000	0.17815	5.6131	71.007	81.120	177.77	35.655	43.977	832.03	0.13448	45.643	0.12797	vapor
1218.0	1.0000	0.17791	5.6208	71.067	81.193	177.83	35.675	43.997	832.56	0.13392	45.703	0.12821	vapor
1219.7	1.0000	0.17767	5.6285	71.126	81.266	177.89	35.695	44.017	833.08	0.13337	45.762	0.12846	vapor
1221.3	1.0000	0.17742	5.6362	71.186	81.340	177.95	35.714	44.037	833.61	0.13282	45.822	0.12870	vapor
1223.0	1.0000	0.17718	5.6439	71.245	81.413	178.01	35.734	44.057	834.13	0.13227	45.882	0.12895	vapor
1224.7	1.0000	0.17694	5.6516	71.305	81.486	178.07	35.754	44.077	834.66	0.13173	45.942	0.12919	vapor
1226.3	1.0000	0.17670	5.6593	71.364	81.560	178.13	35.774	44.096	835.18	0.13119	46.001	0.12943	vapor
1228.0	1.0000	0.17646	5.6670	71.424	81.633	178.19	35.794	44.116	835.71	0.13065	46.061	0.12968	vapor
1229.7	1.0000	0.17622	5.6747	71.484	81.707	178.25	35.814	44.136	836.23	0.13012	46.121	0.12992	vapor
1231.3	1.0000	0.17598	5.6824	71.543	81.780	178.31	35.833	44.156	836.75	0.12958	46.180	0.13017	vapor
1233.0	1.0000	0.17574	5.6901	71.603	81.854	178.37	35.853	44.176	837.28	0.12905	46.240	0.13041	vapor
1234.7	1.0000	0.17551	5.6978	71.663	81.928	178.43	35.873	44.195	837.80	0.12852	46.299	0.13066	vapor
1236.3	1.0000	0.17527	5.7055	71.723	82.001	178.49	35.893	44.215	838.32	0.12800	46.359	0.13090	vapor
1238.0	1.0000	0.17503	5.7132	71.783	82.075	178.55	35.912	44.235	838.84	0.12748	46.418	0.13115	vapor
1239.7	1.0000	0.17480	5.7209	71.842	82.149	178.61	35.932	44.254	839.36	0.12696	46.478	0.13139	vapor
1241.3	1.0000	0.17456	5.7286	71.902	82.223	178.67	35.952	44.274	839.88	0.12644	46.537	0.13164	vapor
1243.0	1.0000	0.17433	5.7363	71.962	82.296	178.73	35.972	44.294	840.41	0.12592	46.597	0.13188	vapor
1244.7	1.0000	0.17410	5.7440	72.022	82.370	178.79	35.991	44.313	840.93	0.12541	46.656	0.13213	vapor
1246.3	1.0000	0.17386	5.7516	72.082	82.444	178.85	36.011	44.333	841.45	0.12490	46.715	0.13237	vapor
1248.0	1.0000	0.17363	5.7593	72.142	82.518	178.90	36.031	44.353	841.97	0.12439	46.775	0.13262	vapor
1249.7	1.0000	0.17340	5.7670	72.202	82.592	178.96	36.050	44.372	842.48	0.12389	46.834	0.13286	vapor
1251.3	1.0000	0.17317	5.7747	72.262	82.666	179.02	36.070	44.392	843.00	0.12339	46.893	0.13311	vapor
1253.0	1.0000	0.17294	5.7824	72.323	82.740	179.08	36.089	44.411	843.52	0.12289	46.952	0.13336	vapor
1254.7	1.0000	0.17271	5.7901	72.383	82.814	179.14	36.109	44.431	844.04	0.12239	47.012	0.13360	vapor
1256.3	1.0000	0.17248	5.7978	72.443	82.888	179.20	36.128	44.450	844.56	0.12189	47.071	0.13385	vapor
1258.0	1.0000	0.17225	5.8055	72.503	82.962	179.26	36.148	44.470	845.08	0.12140	47.130	0.13409	vapor
1259.7	1.0000	0.17202	5.8132	72.563	83.036	179.32	36.167	44.489	845.59	0.12091	47.189	0.13434	vapor
1261.3	1.0000	0.17179	5.8209	72.624	83.110	179.38	36.187	44.509	846.11	0.12042	47.248	0.13459	vapor
1263.0	1.0000	0.17157	5.8286	72.684	83.184	179.44	36.206	44.528	846.63	0.11994	47.307	0.13483	vapor
1264.7	1.0000	0.17134	5.8363	72.744	83.259	179.49	36.226	44.548	847.14	0.11945	47.366	0.13508	vapor
1266.3	1.0000	0.17112	5.8440	72.805	83.333	179.55	36.245	44.567	847.66	0.11897	47.425	0.13532	vapor
1268.0	1.0000	0.17089	5.8517	72.865	83.407	179.61	36.265	44.586	848.17	0.11849	47.484	0.13557	vapor
1269.7	1.0000	0.17067	5.8594	72.926	83.481	179.67	36.284	44.606	848.69	0.11801	47.543	0.13582	vapor
1271.3	1.0000	0.17044	5.8671	72.986	83.556	179.73	36.303	44.625	849.20	0.11754	47.601	0.13606	vapor
1273.0	1.0000	0.17022	5.8748	73.047	83.630	179.79	36.323	44.644	849.72	0.11707	47.660	0.13631	vapor
