Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	10.000	997.45	0.0010026	104.75	105.75	0.36697	4.1345	4.1787	1498.2	-0.022144	889.87	0.60760	liquid
26.042	10.000	997.18	0.0010028	109.10	110.10	0.38154	4.1304	4.1784	1501.0	-0.022075	869.19	0.60937	liquid
27.083	10.000	996.90	0.0010031	113.45	114.46	0.39606	4.1263	4.1780	1503.6	-0.022006	849.27	0.61112	liquid
28.125	10.000	996.60	0.0010034	117.81	118.81	0.41053	4.1221	4.1778	1506.2	-0.021938	830.08	0.61285	liquid
29.167	10.000	996.30	0.0010037	122.16	123.16	0.42495	4.1178	4.1775	1508.7	-0.021871	811.58	0.61456	liquid
30.208	10.000	995.99	0.0010040	126.51	127.51	0.43932	4.1135	4.1773	1511.2	-0.021805	793.74	0.61624	liquid
31.250	10.000	995.66	0.0010044	130.86	131.86	0.45364	4.1092	4.1772	1513.5	-0.021738	776.53	0.61791	liquid
32.292	10.000	995.33	0.0010047	135.21	136.21	0.46791	4.1048	4.1771	1515.8	-0.021673	759.92	0.61956	liquid
33.333	10.000	994.99	0.0010050	139.56	140.57	0.48213	4.1003	4.1770	1518.0	-0.021608	743.87	0.62118	liquid
34.375	10.000	994.64	0.0010054	143.91	144.92	0.49630	4.0958	4.1770	1520.1	-0.021544	728.37	0.62278	liquid
35.417	10.000	994.29	0.0010057	148.26	149.27	0.51043	4.0913	4.1769	1522.2	-0.021480	713.39	0.62436	liquid
36.458	10.000	993.92	0.0010061	152.61	153.62	0.52451	4.0867	4.1770	1524.2	-0.021417	698.90	0.62592	liquid
37.500	10.000	993.54	0.0010065	156.96	157.97	0.53853	4.0821	4.1770	1526.1	-0.021354	684.88	0.62745	liquid
38.542	10.000	993.16	0.0010069	161.31	162.32	0.55252	4.0774	4.1771	1528.0	-0.021291	671.32	0.62896	liquid
39.583	10.000	992.77	0.0010073	165.66	166.67	0.56645	4.0727	4.1772	1529.8	-0.021229	658.18	0.63045	liquid
40.625	10.000	992.37	0.0010077	170.02	171.02	0.58034	4.0680	4.1773	1531.5	-0.021167	645.47	0.63191	liquid
