Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	45.000	999.02	0.0010010	104.48	108.99	0.36605	4.1229	4.1688	1504.1	-0.022135	889.10	0.60919	liquid
26.042	45.000	998.74	0.0010013	108.82	113.33	0.38059	4.1190	4.1685	1506.8	-0.022066	868.52	0.61095	liquid
27.083	45.000	998.46	0.0010015	113.16	117.67	0.39508	4.1149	4.1684	1509.5	-0.021998	848.71	0.61270	liquid
28.125	45.000	998.16	0.0010018	117.50	122.01	0.40952	4.1109	4.1682	1512.1	-0.021931	829.62	0.61443	liquid
29.167	45.000	997.85	0.0010022	121.84	126.35	0.42391	4.1067	4.1681	1514.6	-0.021865	811.21	0.61614	liquid
30.208	45.000	997.54	0.0010025	126.19	130.70	0.43824	4.1026	4.1680	1517.1	-0.021799	793.46	0.61782	liquid
31.250	45.000	997.21	0.0010028	130.53	135.04	0.45253	4.0983	4.1680	1519.5	-0.021734	776.33	0.61949	liquid
32.292	45.000	996.88	0.0010031	134.87	139.38	0.46677	4.0940	4.1680	1521.8	-0.021670	759.79	0.62114	liquid
33.333	45.000	996.53	0.0010035	139.21	143.72	0.48096	4.0897	4.1680	1524.0	-0.021605	743.81	0.62276	liquid
34.375	45.000	996.18	0.0010038	143.55	148.06	0.49510	4.0853	4.1680	1526.1	-0.021542	728.38	0.62436	liquid
35.417	45.000	995.82	0.0010042	147.89	152.40	0.50919	4.0809	4.1681	1528.2	-0.021479	713.46	0.62594	liquid
36.458	45.000	995.45	0.0010046	152.23	156.75	0.52324	4.0765	4.1682	1530.2	-0.021417	699.02	0.62750	liquid
37.500	45.000	995.08	0.0010049	156.57	161.09	0.53724	4.0720	4.1683	1532.2	-0.021354	685.06	0.62904	liquid
38.542	45.000	994.69	0.0010053	160.91	165.43	0.55120	4.0674	4.1685	1534.1	-0.021293	671.55	0.63055	liquid
39.583	45.000	994.30	0.0010057	165.25	169.77	0.56510	4.0628	4.1687	1535.9	-0.021232	658.46	0.63204	liquid
40.625	45.000	993.90	0.0010061	169.59	174.12	0.57897	4.0582	4.1688	1537.6	-0.021171	645.79	0.63351	liquid
41.667	45.000	993.49	0.0010066	173.93	178.46	0.59278	4.0536	4.1690	1539.3	-0.021111	633.51	0.63495	liquid
42.708	45.000	993.07	0.0010070	178.27	182.80	0.60656	4.0489	4.1693	1540.9	-0.021050	621.60	0.63637	liquid
43.750	45.000	992.65	0.0010074	182.61	187.14	0.62028	4.0441	4.1695	1542.4	-0.020991	610.06	0.63776	liquid
44.792	45.000	992.21	0.0010078	186.95	191.49	0.63397	4.0394	4.1698	1543.9	-0.020931	598.87	0.63913	liquid
45.833	45.000	991.77	0.0010083	191.29	195.83	0.64761	4.0346	4.1701	1545.4	-0.020872	588.00	0.64048	liquid
46.875	45.000	991.33	0.0010087	195.64	200.17	0.66120	4.0297	4.1703	1546.7	-0.020814	577.46	0.64181	liquid
47.917	45.000	990.87	0.0010092	199.98	204.52	0.67476	4.0249	4.1707	1548.0	-0.020755	567.22	0.64311	liquid
48.958	45.000	990.41	0.0010097	204.32	208.86	0.68827	4.0200	4.1710	1549.3	-0.020697	557.28	0.64438	liquid
50.000	45.000	989.95	0.0010102	208.66	213.21	0.70173	4.0150	4.1713	1550.5	-0.020639	547.62	0.64564	liquid
51.042	45.000	989.47	0.0010106	213.01	217.55	0.71516	4.0101	4.1717	1551.6	-0.020581	538.23	0.64687	liquid
52.083	45.000	988.99	0.0010111	217.35	221.90	0.72854	4.0051	4.1720	1552.7	-0.020524	529.11	0.64807	liquid
53.125	45.000	988.50	0.0010116	221.69	226.25	0.74188	4.0001	4.1724	1553.7	-0.020466	520.24	0.64925	liquid
54.167	45.000	988.00	0.0010121	226.04	230.59	0.75518	3.9950	4.1728	1554.7	-0.020409	511.61	0.65041	liquid
55.208	45.000	987.50	0.0010127	230.38	234.94	0.76844	3.9900	4.1732	1555.6	-0.020352	503.21	0.65155	liquid
56.250	45.000	986.99	0.0010132	234.73	239.29	0.78166	3.9849	4.1737	1556.4	-0.020295	495.05	0.65266	liquid
57.292	45.000	986.48	0.0010137	239.07	243.63	0.79484	3.9798	4.1741	1557.2	-0.020238	487.09	0.65375	liquid
58.333	45.000	985.96	0.0010142	243.42	247.98	0.80798	3.9747	4.1746	1558.0	-0.020182	479.35	0.65482	liquid
59.375	45.000	985.43	0.0010148	247.76	252.33	0.82108	3.9695	4.1750	1558.7	-0.020125	471.81	0.65587	liquid
60.417	45.000	984.90	0.0010153	252.11	256.68	0.83413	3.9643	4.1755	1559.4	-0.020069	464.47	0.65689	liquid
61.458	45.000	984.36	0.0010159	256.46	261.03	0.84715	3.9591	4.1760	1560.0	-0.020013	457.32	0.65789	liquid
62.500	45.000	983.81	0.0010165	260.81	265.38	0.86014	3.9539	4.1765	1560.5	-0.019957	450.34	0.65887	liquid
63.542	45.000	983.26	0.0010170	265.15	269.73	0.87308	3.9487	4.1770	1561.0	-0.019900	443.55	0.65983	liquid
64.583	45.000	982.70	0.0010176	269.50	274.08	0.88598	3.9435	4.1776	1561.5	-0.019844	436.92	0.66076	liquid
65.625	45.000	982.13	0.0010182	273.85	278.43	0.89885	3.9382	4.1781	1561.9	-0.019788	430.46	0.66168	liquid
66.667	45.000	981.56	0.0010188	278.20	282.79	0.91168	3.9330	4.1787	1562.3	-0.019732	424.16	0.66257	liquid
67.708	45.000	980.99	0.0010194	282.55	287.14	0.92447	3.9277	4.1793	1562.6	-0.019676	418.01	0.66344	liquid
68.750	45.000	980.40	0.0010200	286.90	291.49	0.93722	3.9224	4.1798	1562.9	-0.019620	412.01	0.66429	liquid
69.792	45.000	979.82	0.0010206	291.26	295.85	0.94994	3.9171	4.1805	1563.1	-0.019564	406.15	0.66513	liquid
