Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
72.917	17.500	976.81	0.0010237	304.89	306.68	0.98955	3.9066	4.1883	1558.2	-0.019372	388.70	0.66614	liquid
73.958	17.500	976.19	0.0010244	309.25	311.05	1.0021	3.9012	4.1889	1558.3	-0.019315	383.37	0.66688	liquid
75.000	17.500	975.57	0.0010250	313.62	315.41	1.0147	3.8958	4.1896	1558.3	-0.019258	378.16	0.66761	liquid
76.042	17.500	974.95	0.0010257	317.98	319.78	1.0272	3.8904	4.1903	1558.2	-0.019201	373.08	0.66832	liquid
77.083	17.500	974.32	0.0010264	322.34	324.14	1.0397	3.8849	4.1910	1558.2	-0.019144	368.11	0.66901	liquid
78.125	17.500	973.69	0.0010270	326.71	328.51	1.0521	3.8795	4.1918	1558.0	-0.019087	363.25	0.66969	liquid
79.167	17.500	973.04	0.0010277	331.08	332.87	1.0646	3.8741	4.1925	1557.9	-0.019030	358.50	0.67034	liquid
80.208	17.500	972.40	0.0010284	335.44	337.24	1.0769	3.8687	4.1933	1557.7	-0.018972	353.86	0.67098	liquid
81.250	17.500	971.75	0.0010291	339.81	341.61	1.0893	3.8632	4.1941	1557.4	-0.018915	349.32	0.67160	liquid
82.292	17.500	971.09	0.0010298	344.18	345.98	1.1016	3.8578	4.1949	1557.1	-0.018857	344.88	0.67220	liquid
83.333	17.500	970.43	0.0010305	348.55	350.35	1.1139	3.8523	4.1958	1556.8	-0.018799	340.54	0.67279	liquid
84.375	17.500	969.76	0.0010312	352.92	354.72	1.1261	3.8469	4.1966	1556.4	-0.018741	336.29	0.67335	liquid
85.417	17.500	969.09	0.0010319	357.29	359.09	1.1383	3.8415	4.1975	1556.0	-0.018683	332.13	0.67390	liquid
86.458	17.500	968.41	0.0010326	361.66	363.46	1.1505	3.8360	4.1984	1555.6	-0.018625	328.06	0.67444	liquid
87.500	17.500	967.72	0.0010334	366.03	367.84	1.1626	3.8306	4.1993	1555.1	-0.018567	324.07	0.67496	liquid
88.542	17.500	967.04	0.0010341	370.40	372.21	1.1748	3.8252	4.2002	1554.6	-0.018508	320.17	0.67546	liquid
89.583	17.500	966.34	0.0010348	374.78	376.59	1.1868	3.8197	4.2012	1554.1	-0.018449	316.35	0.67595	liquid
90.625	17.500	965.64	0.0010356	379.15	380.97	1.1989	3.8143	4.2021	1553.5	-0.018390	312.61	0.67642	liquid
91.667	17.500	964.94	0.0010363	383.53	385.34	1.2109	3.8089	4.2031	1552.9	-0.018331	308.95	0.67687	liquid
92.708	17.500	964.23	0.0010371	387.91	389.72	1.2229	3.8034	4.2041	1552.2	-0.018271	305.36	0.67731	liquid
93.750	17.500	963.51	0.0010379	392.29	394.10	1.2348	3.7980	4.2052	1551.5	-0.018211	301.85	0.67774	liquid
94.792	17.500	962.79	0.0010386	396.67	398.48	1.2468	3.7926	4.2062	1550.8	-0.018151	298.40	0.67815	liquid
95.833	17.500	962.07	0.0010394	401.05	402.87	1.2587	3.7872	4.2073	1550.1	-0.018091	295.03	0.67855	liquid
96.875	17.500	961.34	0.0010402	405.43	407.25	1.2705	3.7818	4.2084	1549.3	-0.018030	291.72	0.67893	liquid
97.917	17.500	960.61	0.0010410	409.81	411.63	1.2823	3.7764	4.2096	1548.4	-0.017970	288.48	0.67930	liquid
98.958	17.500	959.87	0.0010418	414.20	416.02	1.2942	3.7710	4.2107	1547.6	-0.017908	285.30	0.67965	liquid
100.00	17.500	959.12	0.0010426	418.58	420.40	1.3059	3.7656	4.2119	1546.7	-0.017847	282.18	0.67999	liquid
101.04	17.500	958.37	0.0010434	422.97	424.79	1.3177	3.7602	4.2131	1545.8	-0.017785	279.13	0.68032	liquid
102.08	17.500	957.62	0.0010443	427.35	429.18	1.3294	3.7549	4.2143	1544.8	-0.017723	276.13	0.68064	liquid
103.13	17.500	956.86	0.0010451	431.74	433.57	1.3411	3.7495	4.2156	1543.8	-0.017661	273.19	0.68094	liquid
104.17	17.500	956.09	0.0010459	436.13	437.96	1.3527	3.7442	4.2168	1542.8	-0.017598	270.31	0.68122	liquid
105.21	17.500	955.32	0.0010468	440.53	442.36	1.3643	3.7388	4.2181	1541.8	-0.017535	267.48	0.68150	liquid
106.25	17.500	954.55	0.0010476	444.92	446.75	1.3759	3.7335	4.2195	1540.7	-0.017472	264.70	0.68176	liquid
107.29	17.500	953.77	0.0010485	449.31	451.15	1.3875	3.7282	4.2208	1539.6	-0.017408	261.98	0.68201	liquid
108.33	17.500	952.99	0.0010493	453.71	455.55	1.3991	3.7229	4.2222	1538.4	-0.017344	259.30	0.68225	liquid
109.38	17.500	952.20	0.0010502	458.11	459.94	1.4106	3.7176	4.2236	1537.2	-0.017280	256.68	0.68247	liquid
110.42	17.500	951.41	0.0010511	462.51	464.35	1.4221	3.7123	4.2250	1536.0	-0.017215	254.10	0.68269	liquid
111.46	17.500	950.61	0.0010520	466.91	468.75	1.4335	3.7070	4.2265	1534.8	-0.017150	251.57	0.68289	liquid
112.50	17.500	949.80	0.0010528	471.31	473.15	1.4450	3.7018	4.2280	1533.5	-0.017084	249.09	0.68308	liquid
113.54	17.500	949.00	0.0010537	475.71	477.56	1.4564	3.6965	4.2295	1532.2	-0.017018	246.65	0.68326	liquid
114.58	17.500	948.18	0.0010546	480.12	481.96	1.4677	3.6913	4.2311	1530.9	-0.016951	244.25	0.68342	liquid
115.63	17.500	947.37	0.0010556	484.52	486.37	1.4791	3.6860	4.2326	1529.5	-0.016885	241.90	0.68358	liquid
116.67	17.500	946.54	0.0010565	488.93	490.78	1.4904	3.6808	4.2342	1528.2	-0.016817	239.59	0.68372	liquid
117.71	17.500	945.72	0.0010574	493.34	495.19	1.5017	3.6756	4.2359	1526.7	-0.016749	237.32	0.68385	liquid
118.75	17.500	944.89	0.0010583	497.75	499.60	1.5130	3.6704	4.2375	1525.3	-0.016681	235.09	0.68398	liquid
119.79	17.500	944.05	0.0010593	502.17	504.02	1.5243	3.6653	4.2392	1523.8	-0.016613	232.89	0.68409	liquid
120.83	17.500	943.21	0.0010602	506.58	508.44	1.5355	3.6601	4.2409	1522.3	-0.016543	230.74	0.68419	liquid
121.88	17.500	942.36	0.0010612	511.00	512.85	1.5467	3.6550	4.2427	1520.8	-0.016474	228.62	0.68428	liquid
122.92	17.500	941.51	0.0010621	515.42	517.28	1.5579	3.6498	4.2445	1519.2	-0.016404	226.54	0.68435	liquid
123.96	17.500	940.66	0.0010631	519.84	521.70	1.5690	3.6447	4.2463	1517.7	-0.016333	224.49	0.68442	liquid
125.00	17.500	939.80	0.0010641	524.26	526.12	1.5801	3.6396	4.2481	1516.0	-0.016262	222.48	0.68448	liquid
126.04	17.500	938.93	0.0010650	528.68	530.55	1.5912	3.6345	4.2500	1514.4	-0.016190	220.50	0.68453	liquid
127.08	17.500	938.06	0.0010660	533.11	534.98	1.6023	3.6295	4.2519	1512.7	-0.016118	218.56	0.68456	liquid
128.13	17.500	937.19	0.0010670	537.54	539.41	1.6134	3.6244	4.2539	1511.0	-0.016045	216.64	0.68459	liquid
129.17	17.500	936.31	0.0010680	541.97	543.84	1.6244	3.6194	4.2558	1509.3	-0.015972	214.76	0.68461	liquid
130.21	17.500	935.43	0.0010690	546.40	548.27	1.6354	3.6143	4.2579	1507.6	-0.015898	212.91	0.68461	liquid
131.25	17.500	934.54	0.0010700	550.84	552.71	1.6464	3.6093	4.2599	1505.8	-0.015823	211.09	0.68461	liquid
132.29	17.500	933.64	0.0010711	555.27	557.15	1.6574	3.6043	4.2620	1504.0	-0.015748	209.30	0.68460	liquid
133.33	17.500	932.75	0.0010721	559.71	561.59	1.6683	3.5994	4.2641	1502.1	-0.015673	207.54	0.68457	liquid
134.38	17.500	931.84	0.0010731	564.15	566.03	1.6792	3.5944	4.2662	1500.3	-0.015596	205.80	0.68454	liquid
135.42	17.500	930.94	0.0010742	568.60	570.48	1.6901	3.5895	4.2684	1498.4	-0.015520	204.10	0.68450	liquid
136.46	17.500	930.02	0.0010752	573.04	574.92	1.7010	3.5845	4.2706	1496.5	-0.015442	202.42	0.68445	liquid
137.50	17.500	929.11	0.0010763	577.49	579.37	1.7118	3.5796	4.2729	1494.6	-0.015364	200.76	0.68438	liquid
138.54	17.500	928.18	0.0010774	581.94	583.83	1.7226	3.5747	4.2752	1492.6	-0.015285	199.13	0.68431	liquid
139.58	17.500	927.26	0.0010784	586.39	588.28	1.7335	3.5698	4.2775	1490.6	-0.015206	197.53	0.68423	liquid
140.63	17.500	926.33	0.0010795	590.85	592.74	1.7442	3.5650	4.2799	1488.6	-0.015126	195.95	0.68414	liquid
141.67	17.500	925.39	0.0010806	595.30	597.20	1.7550	3.5601	4.2823	1486.5	-0.015045	194.40	0.68404	liquid
142.71	17.500	924.45	0.0010817	599.77	601.66	1.7657	3.5553	4.2847	1484.5	-0.014963	192.87	0.68393	liquid
